ts_et,strike,side,bid,ask
16:13:19,7435.0,buy,32.3,32.7
16:13:19,7385.0,sell,24.1,24.5
16:13:24,7435.0,buy,32.3,32.7
16:13:24,7385.0,sell,24.1,24.4
16:13:29,7435.0,buy,32.3,32.7
16:13:29,7385.0,sell,24.1,24.4
16:13:34,7435.0,buy,32.3,32.7
16:13:34,7385.0,sell,24.1,24.4
16:13:39,7435.0,buy,32.0,32.4
16:13:39,7385.0,sell,23.9,24.3
16:13:44,7435.0,buy,32.1,32.5
16:13:44,7385.0,sell,24.0,24.3
16:13:49,7435.0,buy,32.1,32.5
16:13:49,7385.0,sell,24.0,24.3
16:13:54,7435.0,buy,32.0,32.5
16:13:54,7385.0,sell,23.9,24.3
16:13:59,7435.0,buy,32.1,32.5
16:13:59,7385.0,sell,24.0,24.3
16:14:04,7435.0,buy,32.2,32.6
16:14:04,7385.0,sell,24.0,24.4
16:14:09,7435.0,buy,32.1,32.5
16:14:09,7385.0,sell,24.0,24.3
16:14:14,7435.0,buy,32.1,32.5
16:14:14,7385.0,sell,23.9,24.3
16:14:19,7435.0,buy,32.1,32.6
16:14:19,7385.0,sell,24.0,24.3
16:14:24,7435.0,buy,32.1,32.5
16:14:24,7385.0,sell,24.0,24.3
16:14:29,7435.0,buy,32.1,32.5
16:14:29,7385.0,sell,24.0,24.3
16:14:34,7435.0,buy,32.1,32.5
16:14:34,7385.0,sell,23.9,24.3
16:14:39,7435.0,buy,32.2,32.6
16:14:39,7385.0,sell,24.0,24.4
16:14:44,7435.0,buy,32.2,32.6
16:14:44,7385.0,sell,24.0,24.4
16:14:49,7435.0,buy,32.2,32.6
16:14:49,7385.0,sell,24.0,24.4
16:14:54,7435.0,buy,32.2,32.6
16:14:54,7385.0,sell,24.0,24.4
16:14:59,7435.0,buy,32.2,32.6
16:14:59,7385.0,sell,24.0,24.4
16:15:04,7435.0,buy,32.2,32.6
16:15:04,7385.0,sell,24.0,24.4
