book,trade_id,strategy,source,structure,occ_root,leg_idx,side,right,strike,expiry,qty,entry_dt_ct,exit_dt_ct,fill_model,close_reason,credit,exit_cost
SPX,auto_20260811_083105,eodic_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7855.0,20260811,1,2026-08-11 08:31,2026-08-11 16:00,cash_settle,expired,0.15,0.0
SPX,auto_20260811_083105,eodic_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7830.0,20260811,1,2026-08-11 08:31,2026-08-11 16:00,cash_settle,expired,0.15,0.0
SPX,auto_20260811_083142,eodfly_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7730.0,20260811,1,2026-08-11 08:31,2026-08-11 10:17,paper_fill,level ACCEPTED: spot 7749 held below the 7755 short strike for 10min (>10) — the wall we sold did not hold,6.6,8.9
SPX,auto_20260811_083142,eodfly_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7755.0,20260811,1,2026-08-11 08:31,2026-08-11 10:17,paper_fill,level ACCEPTED: spot 7749 held below the 7755 short strike for 10min (>10) — the wall we sold did not hold,6.6,8.9
SPX,auto_20260811_083203,eodfly_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7780.0,20260811,1,2026-08-11 08:32,2026-08-11 09:07,paper_fill,level ACCEPTED: spot 7760 held above the 7755 short strike for 10min (>10) — the wall we sold did not hold,10.4,9.8
SPX,auto_20260811_083203,eodfly_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7755.0,20260811,1,2026-08-11 08:32,2026-08-11 09:07,paper_fill,level ACCEPTED: spot 7760 held above the 7755 short strike for 10min (>10) — the wall we sold did not hold,10.4,9.8
SPX,auto_20260811_083224,openic_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7660.0,20260811,1,2026-08-11 08:32,2026-08-11 16:00,cash_settle,expired,0.35,0.0
SPX,auto_20260811_083224,openic_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7685.0,20260811,1,2026-08-11 08:32,2026-08-11 16:00,cash_settle,expired,0.35,0.0
SPX,auto_20260811_083254,openfly_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7740.0,20260811,1,2026-08-11 08:32,2026-08-11 08:44,paper_fill,level ACCEPTED: spot 7756 held below the 7765 short strike for 10min (>10) — the wall we sold did not hold,10.1,10.5
SPX,auto_20260811_083254,openfly_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7765.0,20260811,1,2026-08-11 08:32,2026-08-11 08:44,paper_fill,level ACCEPTED: spot 7756 held below the 7765 short strike for 10min (>10) — the wall we sold did not hold,10.1,10.5
SPX,auto_20260811_083327,openfly_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7790.0,20260811,1,2026-08-11 08:33,2026-08-11 16:00,cash_settle,expired,6.85,0.0
