ts_et,trade_id,spot,net_mid,net_spread,unreal_pnl,pop,ev,p_maxloss,sigma,max_gain,max_loss
2026-07-24 15:25:55,auto_20260724_085540,7398.57,-5.88,0.15,292.5,0.6406,109,0.133,20.9,880,-1620
2026-07-24 15:25:55,auto_20260724_090200,7398.57,12.7,0.2,-1860.0,0.1525,-1386,0.0243,20.9,5867,-3122
2026-07-24 15:28:09,auto_20260724_085540,7400.3,-5.12,0.25,367.5,0.6758,191,0.1075,20.2,880,-1620
2026-07-24 15:28:09,auto_20260724_090200,7400.3,11.85,0.3,-1945.0,0.1306,-1476,0.0249,20.2,5417,-3115
2026-07-24 15:30:22,auto_20260724_085540,7402.38,-4.03,0.25,477.5,0.715,287,0.0832,19.5,880,-1620
2026-07-24 15:30:22,auto_20260724_090200,7402.38,10.85,0.3,-2045.0,0.1107,-1562,0.0316,19.5,4922,-3117
2026-07-24 15:32:35,auto_20260724_085540,7404.43,-3.23,0.15,557.5,0.7618,380,0.0594,18.7,880,-1620
2026-07-24 15:32:35,auto_20260724_090200,7404.43,10.65,0.3,-2065.0,0.0946,-1635,0.0319,18.7,4419,-3127
2026-07-24 15:34:49,auto_20260724_085540,7405.65,-2.78,0.15,602.5,0.7905,443,0.0457,18.0,880,-1620
2026-07-24 15:34:49,auto_20260724_090200,7405.65,10.4,0.2,-2090.0,0.0813,-1697,0.0319,18.0,4116,-3122
2026-07-24 15:37:02,auto_20260724_085540,7406.8,-2.1,0.1,670.0,0.817,504,0.0334,17.1,880,-1620
2026-07-24 15:37:02,auto_20260724_090200,7406.8,10.4,0.4,-2090.0,0.0696,-1755,0.0381,17.1,3907,-3118
2026-07-24 15:39:15,auto_20260724_085540,7409.55,-1.6,0.1,720.0,0.8704,609,0.0177,16.3,880,-1620
2026-07-24 15:39:15,auto_20260724_090200,7409.55,10.45,0.3,-2085.0,0.0643,-1780,0.0368,16.3,3842,-3118
2026-07-24 15:41:29,auto_20260724_085540,7404.32,-2.85,0.1,595.0,0.804,475,0.03,15.4,880,-1620
2026-07-24 15:41:29,auto_20260724_090200,7404.32,9.2,0.2,-2210.0,0.0423,-1901,0.0383,15.4,3095,-3124
2026-07-24 15:43:42,auto_20260724_085540,7402.9,-3.12,0.15,567.5,0.7905,452,0.0279,14.4,880,-1620
2026-07-24 15:43:42,auto_20260724_090200,7402.9,8.9,0.2,-2240.0,0.0318,-1966,0.0316,14.4,2856,-3128
2026-07-24 15:45:55,auto_20260724_090200,7403.5,8.4,0.2,-2290.0,0.0206,-2053,0.0317,13.4,2389,-3130
2026-07-24 15:48:08,auto_20260724_090200,7402.68,8.3,0.4,-2300.0,0.0127,-2130,0.0438,12.3,2032,-3125
2026-07-24 15:50:21,auto_20260724_090200,7405.43,7.35,0.2,-2395.0,0.0048,-2243,0.051,11.1,1357,-3123
2026-07-24 15:52:34,auto_20260724_090200,7400.75,7.1,0.3,-2420.0,0.0035,-2262,0.0467,10.0,1292,-3123
2026-07-27 10:01:30,auto_20260727_090028,7437.55,32.45,0.5,-75.0,0.6032,1773,0.0128,63.8,22443,-3279
2026-07-27 10:03:43,auto_20260727_090028,7440.95,30.85,0.3,-235.0,0.6031,1754,0.0064,63.6,22214,-3313
2026-07-27 10:05:55,auto_20260727_090028,7440.95,30.15,0.3,-305.0,0.6031,1738,0.0064,63.4,22135,-3314
2026-07-27 10:08:08,auto_20260727_090028,7442.15,29.8,0.4,-340.0,0.6032,1724,0.0064,63.2,22176,-3307
2026-07-27 10:10:20,auto_20260727_090028,7436.2,30.65,0.3,-255.0,0.598,1715,0.0127,63.0,22262,-3297
2026-07-27 10:12:33,auto_20260727_090028,7431.4,32.05,0.5,-115.0,0.6008,1737,0.0126,62.8,22662,-3276
2026-07-27 10:14:45,auto_20260727_090028,7433.5,31.2,0.4,-200.0,0.5994,1701,0.0127,62.6,22372,-3271
2026-07-27 10:16:58,auto_20260727_090028,7435.0,30.25,0.3,-295.0,0.5931,1674,0.0064,62.4,22142,-3319
2026-07-27 10:19:11,auto_20260727_090028,7435.0,29.8,0.4,-340.0,0.5931,1658,0.0064,62.2,22061,-3318
2026-07-27 10:21:23,auto_20260727_090028,7427.7,31.25,0.3,-195.0,0.5987,1723,0.0125,62.0,22710,-3280
2026-07-27 10:23:36,auto_20260727_090028,7429.4,30.95,0.3,-225.0,0.5976,1682,0.0126,61.8,22459,-3292
2026-07-27 10:25:48,auto_20260727_090028,7418.65,35.3,0.4,210.0,0.608,1886,0.012,61.6,23453,-3287
2026-07-27 10:28:01,auto_20260727_090028,7416.35,36.7,0.4,350.0,0.6184,1936,0.0059,61.4,23601,-3312
2026-07-27 10:30:13,auto_20260727_090028,7409.0,42.15,0.5,895.0,0.6313,2174,0.0112,61.2,24255,-3287
2026-07-27 10:32:26,auto_20260727_090028,7407.1,44.1,0.4,1090.0,0.6369,2236,0.0111,61.0,24362,-3293
2026-07-27 10:34:39,auto_20260727_090028,7403.95,46.25,0.3,1305.0,0.6422,2357,0.0054,60.8,24595,-3313
2026-07-27 10:36:51,auto_20260727_090028,7398.8,50.55,0.3,1735.0,0.6645,2588,0.0101,60.6,25027,-3273
2026-07-27 10:39:04,auto_20260727_090028,7404.4,46.5,0.2,1330.0,0.6422,2309,0.0054,60.4,24384,-3307
2026-07-27 10:41:16,auto_20260727_090028,7395.85,53.85,0.7,2065.0,0.6718,2716,0.0049,60.2,25156,-3308
2026-07-27 10:43:29,auto_20260727_090028,7390.4,57.45,0.3,2425.0,0.6934,3012,0.0091,59.9,25618,-3293
2026-07-27 10:45:41,auto_20260727_090028,7396.7,52.35,0.3,1915.0,0.6656,2645,0.0098,59.7,24904,-3291
2026-07-27 10:47:54,auto_20260727_090028,7398.25,51.0,0.4,1780.0,0.6586,2551,0.01,59.5,24665,-3305
2026-07-27 10:50:07,auto_20260727_090028,7404.5,45.55,0.3,1235.0,0.639,2235,0.0107,59.3,23955,-3281
2026-07-27 10:52:19,auto_20260727_090028,7403.8,46.15,0.3,1295.0,0.6421,2252,0.0106,59.1,23940,-3293
2026-07-27 10:54:32,auto_20260727_090028,7410.9,40.55,0.5,735.0,0.6149,1940,0.0056,58.9,23145,-3309
2026-07-27 10:56:44,auto_20260727_090028,7413.9,37.55,0.3,435.0,0.607,1816,0.0116,58.7,22760,-3301
2026-07-27 10:58:57,auto_20260727_090028,7417.55,34.75,0.3,155.0,0.5975,1683,0.0059,58.5,22309,-3320
2026-07-27 11:01:09,auto_20260727_090028,7420.95,33.35,0.3,15.0,0.585,1573,0.0121,58.2,21883,-3279
2026-07-27 11:03:22,auto_20260727_090028,7421.0,31.85,0.5,-135.0,0.585,1555,0.0121,58.0,21792,-3277
2026-07-27 11:05:35,auto_20260727_090028,7424.15,29.9,0.4,-330.0,0.5796,1464,0.0062,57.8,21390,-3308
2026-07-27 11:07:47,auto_20260727_090028,7423.2,30.6,0.2,-260.0,0.5813,1468,0.0122,57.6,21398,-3299
2026-07-27 11:10:00,auto_20260727_090028,7416.7,34.15,0.3,95.0,0.5958,1629,0.0117,57.4,21961,-3285
2026-07-27 11:12:12,auto_20260727_090028,7419.0,33.1,0.4,-10.0,0.585,1544,0.006,57.2,21644,-3317
2026-07-27 11:14:25,auto_20260727_090028,7421.65,31.15,0.3,-205.0,0.5789,1456,0.0121,56.9,21291,-3307
2026-07-27 11:16:38,auto_20260727_090028,7412.85,37.55,0.3,435.0,0.6022,1713,0.0057,56.7,22082,-3313
2026-07-27 11:18:50,auto_20260727_090028,7406.15,41.1,0.4,790.0,0.6198,1972,0.0107,56.5,22664,-3280
2026-07-27 11:21:03,auto_20260727_090028,7414.95,34.6,0.4,140.0,0.5906,1607,0.0116,56.3,21695,-3304
2026-07-27 11:23:16,auto_20260727_090028,7409.35,38.75,0.5,555.0,0.6103,1804,0.011,56.1,22165,-3304
2026-07-27 11:25:28,auto_20260727_090028,7405.9,42.15,0.3,895.0,0.6231,1939,0.0106,55.8,22421,-3304
2026-07-27 11:27:41,auto_20260727_090028,7408.2,38.9,0.2,570.0,0.6102,1822,0.0109,55.6,22101,-3297
