ts_et,strike,side,bid,ask
16:14:02,7225.0,buy,29.3,29.7
16:14:07,7325.0,sell,46.9,47.5
16:14:07,7225.0,buy,29.4,29.8
16:14:12,7325.0,sell,46.9,47.3
16:14:12,7225.0,buy,29.4,29.7
16:14:17,7325.0,sell,46.7,47.2
16:14:17,7225.0,buy,29.3,29.7
16:14:22,7325.0,sell,46.7,47.2
16:14:22,7225.0,buy,29.3,29.6
16:14:27,7325.0,sell,46.7,47.2
16:14:27,7225.0,buy,29.3,29.7
16:14:32,7325.0,sell,46.7,47.2
16:14:32,7225.0,buy,29.2,29.6
16:14:37,7325.0,sell,46.7,47.2
16:14:37,7225.0,buy,29.3,29.6
16:14:42,7325.0,sell,46.8,47.3
16:14:42,7225.0,buy,29.4,29.7
16:14:47,7325.0,sell,47.0,47.5
16:14:47,7225.0,buy,29.5,29.8
16:14:52,7325.0,sell,46.9,47.4
16:14:52,7225.0,buy,29.4,29.8
16:14:57,7325.0,sell,46.9,47.3
16:14:57,7225.0,buy,29.4,29.7
16:15:02,7325.0,sell,47.1,47.5
16:15:02,7225.0,buy,29.5,29.8
