Date,book,dir,fill_bar,net
2024-06-26,FADE-S,S,37,-555.0
2024-06-27,FADE-L,L,43,-542.5
2024-06-27,FADE-L,L,63,695.0
2024-06-28,WT-L,L,15,-530.0
2024-07-01,WT-S,S,16,-592.5
2024-07-01,WT-S,S,25,-592.5
2024-07-01,FADE-S,S,46,-592.5
2024-07-02,FADE-L,L,11,1607.5
2024-07-03,WT-L,L,9,745.0
2024-07-05,WT-L,L,61,157.5
2024-07-08,FADE-L,L,8,-592.5
2024-07-08,WT-S,S,22,20.0
2024-07-08,WT-S,S,30,-142.5
2024-07-08,WT-S,S,47,-255.0
2024-07-10,WT-L,L,48,870.0
2024-07-10,WT-L,L,57,695.0
2024-07-11,FADE-L,L,60,-130.0
2024-07-12,FADE-L,L,18,-617.5
2024-07-15,WT-S,S,53,-605.0
2024-07-16,WT-S,S,39,-630.0
2024-07-18,FADE-S,S,52,595.0
2024-07-19,WT-S,S,31,1232.5
2024-07-19,WT-S,S,55,307.5
2024-07-25,WT-L,L,39,-892.5
2024-07-25,WT-S,S,62,2007.5
2024-07-29,FADE-S,S,40,657.5
2024-07-30,WT-S,S,10,3045.0
2024-07-30,FADE-S,S,40,-917.5
2024-08-01,FADE-S,S,62,-1042.5
2024-08-06,FADE-L,L,10,-1305.0
2024-08-06,FADE-L,L,63,-1305.0
2024-08-14,FADE-L,L,28,270.0
2024-08-14,FADE-S,S,57,-930.0
2024-08-16,FADE-L,L,28,570.0
2024-08-19,FADE-S,S,9,-1205.0
2024-08-19,FADE-L,L,24,1107.5
2024-08-20,WT-S,S,21,-367.5
2024-08-21,FADE-L,L,13,-967.5
2024-08-21,WT-S,S,24,-367.5
2024-08-21,FADE-S,S,49,-380.0
2024-08-22,WT-S,S,13,2170.0
