Date,dir,net
2023-10-13,S,-205.0
2023-10-16,L,-205.0
2023-10-17,L,520.0
2023-10-17,L,-205.0
2023-10-17,L,-205.0
2023-10-17,L,-205.0
2023-10-17,L,-205.0
2023-10-17,S,82.5
2023-10-17,S,-205.0
2023-10-19,S,-205.0
2023-10-19,S,-205.0
2023-10-20,L,-205.0
2023-10-20,L,-205.0
2023-10-23,L,-205.0
2023-10-23,S,-205.0
2023-10-23,S,832.5
2023-10-24,L,-205.0
2023-10-24,L,-205.0
2023-10-25,S,1357.5
2023-10-25,S,1270.0
2023-10-25,S,995.0
2023-10-25,S,195.0
2023-10-26,S,-205.0
2023-10-26,S,-205.0
2023-10-26,S,-205.0
2023-10-26,S,-205.0
2023-10-26,L,-205.0
2023-10-31,S,-205.0
2023-10-31,S,-205.0
2023-11-02,L,1095.0
2023-11-03,S,-205.0
2023-11-03,L,-205.0
2023-11-06,L,-205.0
2023-11-06,L,-205.0
2023-11-06,S,-205.0
2023-11-06,S,-205.0
2023-11-07,S,-205.0
2023-11-08,S,-205.0
2023-11-08,S,-205.0
2023-11-09,S,-205.0
2023-11-10,L,-205.0
2023-11-10,L,1695.0
2023-11-10,L,-205.0
2023-11-13,L,-205.0
2023-11-15,L,-205.0
2023-11-15,S,-205.0
2023-11-17,L,270.0
2023-11-17,L,82.5
2023-11-20,S,-205.0
2023-11-20,L,645.0
2023-11-20,L,595.0
2023-11-21,S,-205.0
2023-11-22,L,-205.0
2023-11-28,L,-205.0
2023-11-28,L,-205.0
2023-11-29,S,807.5
2023-11-29,S,707.5
