Date,eod,reg,cut
2025-09-19,482.5,482.5,False
2025-09-23,1507.5,320.0,True
2025-09-24,-255.0,-255.0,False
2025-09-30,957.5,-355.0,True
2025-09-30,-742.5,-467.5,True
2025-10-02,-755.0,-267.5,True
2025-10-02,395.0,432.5,True
2025-10-03,-742.5,282.5,True
2025-10-07,-230.0,-230.0,False
2025-10-10,9345.0,6745.0,True
2025-10-10,9432.5,6832.5,True
2025-10-10,-705.0,-705.0,False
2025-10-16,-1167.5,-855.0,True
2025-11-05,-842.5,-667.5,True
2025-11-06,1632.5,1307.5,True
2025-11-07,-867.5,-330.0,True
2025-11-12,-530.0,-230.0,True
2025-11-13,-1005.0,-492.5,True
2025-11-21,-1567.5,-717.5,True
2025-12-03,770.0,-242.5,True
2025-12-03,-142.5,45.0,True
2025-12-05,-255.0,-617.5,True
2025-12-08,-605.0,-430.0,True
2025-12-12,-742.5,-680.0,True
2025-12-15,-842.5,-455.0,True
2025-12-15,7.5,7.5,False
2025-12-17,-905.0,-555.0,True
2025-12-17,345.0,370.0,True
2025-12-17,157.5,182.5,True
2025-12-17,82.5,107.5,True
2025-12-17,-430.0,-405.0,True
2025-12-19,45.0,-80.0,True
2025-12-22,107.5,-80.0,True
2025-12-23,1120.0,732.5,True
2025-12-26,195.0,-155.0,True
2026-01-02,-680.0,-280.0,True
2026-01-05,-67.5,345.0,True
2026-01-05,-405.0,7.5,True
2026-01-07,-605.0,-255.0,True
2026-01-12,370.0,-142.5,True
2026-01-14,-730.0,-730.0,False
2026-01-16,607.5,145.0,True
2026-01-29,1995.0,1995.0,False
2026-01-29,1057.5,1057.5,False
2026-02-03,945.0,-780.0,True
2026-02-03,595.0,2370.0,True
2026-02-04,-1092.5,1245.0,True
2026-02-09,532.5,532.5,False
2026-02-12,1482.5,307.5,True
2026-02-12,-1367.5,-730.0,True
2026-02-13,-1417.5,432.5,True
2026-02-17,-705.0,-292.5,True
2026-02-18,382.5,682.5,True
2026-02-25,532.5,395.0,True
2026-02-25,507.5,370.0,True
2026-03-04,-80.0,270.0,True
2026-03-05,170.0,1845.0,True
2026-03-17,20.0,-305.0,True
2026-04-07,-1492.5,-542.5,True
2026-04-09,-392.5,-342.5,True
2026-04-10,-267.5,-417.5,True
2026-04-13,1932.5,1932.5,False
2026-04-15,820.0,795.0,True
2026-04-15,507.5,482.5,True
2026-04-20,-555.0,-655.0,True
2026-04-21,432.5,557.5,True
2026-04-21,257.5,382.5,True
2026-04-22,145.0,145.0,False
2026-04-27,-630.0,-80.0,True
2026-04-27,370.0,-105.0,True
2026-04-29,-855.0,-142.5,True
2026-04-29,-855.0,-317.5,True
2026-04-29,-855.0,-580.0,True
2026-05-04,-892.5,-617.5,True
2026-05-07,-917.5,107.5,True
2026-05-07,-917.5,-755.0,True
2026-05-13,2170.0,2170.0,False
2026-05-13,1832.5,1832.5,False
2026-05-13,170.0,170.0,False
2026-05-18,-917.5,-417.5,True
2026-05-20,282.5,-905.0,True
2026-05-28,732.5,-142.5,True
2026-05-28,457.5,457.5,False
2026-06-01,-505.0,-505.0,False
2026-06-03,557.5,232.5,True
2026-06-16,1570.0,-417.5,True
2026-06-17,4132.5,-542.5,True
2026-06-22,-417.5,-442.5,True
2026-06-24,-1280.0,-605.0,True
2026-06-24,-1280.0,-1280.0,False
2026-07-01,-1217.5,-242.5,True
2026-07-01,1057.5,-205.0,True
2026-07-02,282.5,1395.0,True
2026-07-02,-1130.0,-380.0,True
2026-07-06,832.5,132.5,True
2026-07-06,470.0,-230.0,True
