Date,engine,dir,net
2024-03-06,NEW,S,-580.0
2024-03-06,NEW,S,-192.5
2024-03-06,NEW,S,-242.5
2024-03-07,OLD,L,-30.0
2024-03-07,OLD,L,-580.0
2024-03-07,NEW,L,-30.0
2024-03-07,NEW,L,-580.0
2024-03-12,OLD,L,-617.5
2024-03-12,OLD,S,-617.5
2024-03-12,NEW,L,-617.5
2024-03-12,NEW,S,-617.5
2024-03-19,OLD,L,1282.5
2024-03-19,NEW,L,1282.5
2024-03-20,OLD,L,2495.0
2024-03-20,NEW,L,2770.0
2024-03-20,NEW,L,2495.0
2024-03-20,NEW,L,1645.0
2024-03-21,OLD,L,-717.5
2024-03-21,OLD,S,395.0
2024-03-21,NEW,L,-717.5
2024-03-21,NEW,S,395.0
2024-03-22,OLD,S,270.0
2024-03-22,NEW,S,270.0
2024-03-26,OLD,S,820.0
2024-03-26,NEW,S,820.0
2024-04-01,OLD,S,20.0
2024-04-01,OLD,S,-505.0
2024-04-01,NEW,S,20.0
2024-04-01,NEW,S,-505.0
2024-04-16,OLD,S,-967.5
2024-04-16,NEW,S,-967.5
2024-04-18,OLD,S,1420.0
2024-04-18,OLD,S,45.0
2024-04-18,NEW,S,1420.0
2024-04-18,NEW,S,45.0
2024-04-22,OLD,L,-967.5
2024-04-22,NEW,L,-967.5
2024-04-24,OLD,S,-1017.5
2024-04-24,NEW,S,-1017.5
2024-04-26,OLD,L,-180.0
2024-04-26,NEW,L,-180.0
2024-04-30,OLD,S,3632.5
2024-04-30,OLD,S,2145.0
2024-04-30,NEW,S,3632.5
2024-04-30,NEW,S,2145.0
2024-05-01,OLD,S,-967.5
2024-05-01,OLD,S,-967.5
2024-05-01,NEW,S,-967.5
2024-05-01,NEW,S,-967.5
2024-05-06,OLD,L,420.0
2024-05-06,NEW,L,420.0
2024-05-08,NEW,S,-130.0
2024-05-09,OLD,L,645.0
2024-05-09,NEW,L,645.0
2024-05-10,OLD,S,-167.5
2024-05-10,OLD,S,-167.5
2024-05-10,NEW,S,-167.5
2024-05-10,NEW,S,-167.5
2024-05-13,OLD,S,-17.5
2024-05-13,NEW,S,-17.5
2024-05-15,OLD,L,195.0
2024-05-15,NEW,L,195.0
2024-05-16,OLD,S,1045.0
2024-05-16,NEW,S,1045.0
2024-05-21,OLD,L,507.5
2024-05-21,NEW,L,507.5
2024-05-23,NEW,S,1720.0
2024-05-24,OLD,L,20.0
2024-05-24,NEW,L,20.0
2024-05-30,OLD,L,-517.5
2024-05-30,NEW,S,-517.5
2024-05-30,NEW,L,-517.5
2024-05-31,OLD,S,-530.0
2024-05-31,OLD,L,3370.0
2024-05-31,NEW,S,-530.0
2024-05-31,NEW,L,3370.0
2024-06-04,OLD,S,-705.0
2024-06-04,OLD,L,1232.5
2024-06-04,OLD,L,807.5
2024-06-04,NEW,S,-705.0
2024-06-04,NEW,L,807.5
2024-06-05,OLD,L,820.0
2024-06-05,NEW,L,820.0
2024-06-06,NEW,S,20.0
2024-06-11,OLD,L,370.0
2024-06-11,NEW,L,370.0
2024-06-13,OLD,S,-780.0
2024-06-13,NEW,S,-780.0
2024-06-24,OLD,S,595.0
2024-06-24,OLD,S,407.5
2024-06-24,NEW,S,595.0
2024-06-24,NEW,S,407.5
2024-06-26,NEW,L,-555.0
2024-06-28,OLD,L,-530.0
2024-06-28,NEW,L,-530.0
2024-07-01,OLD,S,-592.5
2024-07-01,OLD,S,-592.5
2024-07-01,NEW,S,-592.5
2024-07-01,NEW,S,-592.5
2024-07-01,NEW,L,-592.5
2024-07-03,OLD,L,745.0
2024-07-03,NEW,L,745.0
2024-07-05,OLD,L,157.5
2024-07-05,NEW,L,157.5
2024-07-08,OLD,S,20.0
2024-07-08,OLD,S,-142.5
2024-07-08,OLD,S,-255.0
2024-07-08,NEW,S,20.0
2024-07-08,NEW,S,-142.5
2024-07-08,NEW,S,-255.0
2024-07-10,OLD,L,870.0
2024-07-10,OLD,L,695.0
2024-07-10,NEW,L,870.0
2024-07-10,NEW,L,695.0
2024-07-15,OLD,S,-605.0
2024-07-15,NEW,S,-605.0
2024-07-16,OLD,S,-630.0
2024-07-16,NEW,S,-630.0
2024-07-16,NEW,L,845.0
2024-07-19,OLD,S,1232.5
2024-07-19,OLD,S,307.5
2024-07-19,NEW,S,1232.5
2024-07-19,NEW,S,307.5
2024-07-25,OLD,L,-892.5
2024-07-25,OLD,S,2007.5
2024-07-25,NEW,L,-892.5
2024-07-25,NEW,S,2007.5
2024-07-29,NEW,S,-930.0
2024-07-30,OLD,S,3045.0
2024-07-30,NEW,S,3045.0
2024-08-20,OLD,S,-367.5
2024-08-20,NEW,S,-367.5
2024-08-21,OLD,S,-367.5
2024-08-21,NEW,S,-367.5
2024-08-21,NEW,L,295.0
2024-08-22,OLD,S,2170.0
2024-08-22,NEW,S,2170.0
2024-08-26,OLD,S,457.5
2024-08-26,OLD,S,-392.5
2024-08-26,NEW,S,457.5
2024-08-26,NEW,S,-392.5
2024-08-27,OLD,L,107.5
2024-08-27,NEW,L,107.5
2024-08-28,OLD,S,-767.5
2024-08-28,NEW,S,-767.5
2024-08-29,OLD,L,-792.5
2024-08-29,NEW,L,-792.5
2024-08-30,OLD,S,-817.5
2024-08-30,NEW,S,-817.5
2024-09-06,OLD,S,282.5
2024-09-06,NEW,S,282.5
2024-09-17,OLD,S,-292.5
2024-09-17,NEW,S,-292.5
2024-09-18,OLD,L,-1067.5
2024-09-18,NEW,L,-1067.5
2024-09-23,OLD,S,-417.5
2024-09-23,NEW,S,-417.5
2024-09-24,OLD,L,182.5
2024-09-24,NEW,L,182.5
2024-09-25,OLD,S,245.0
2024-09-25,OLD,S,-355.0
2024-09-25,NEW,S,245.0
2024-09-25,NEW,S,-355.0
2024-09-27,OLD,S,520.0
2024-09-27,NEW,S,520.0
2024-10-02,OLD,L,945.0
2024-10-02,OLD,L,-755.0
2024-10-02,OLD,L,-755.0
2024-10-02,OLD,L,-755.0
2024-10-02,NEW,L,945.0
