side,h,N,N_base,mean_bp,median_bp,up%,t,excess_bp,src,tf,event,rep
short,20,20,8974,35.0,24.7,55.0,0.92,45.6,null_shuffle,60m,compress_bo,14
long,1,93,8993,1.9,0.3,50.5,0.75,1.3,null_shuffle,60m,kelt_pull,14
long,3,93,8991,3.3,3.2,52.7,0.61,1.7,null_shuffle,60m,kelt_pull,14
long,5,93,8989,2.9,3.7,51.6,0.48,0.3,null_shuffle,60m,kelt_pull,14
long,10,93,8984,20.3,4.7,51.6,1.49,15.0,null_shuffle,60m,kelt_pull,14
long,20,93,8974,14.4,19.4,55.9,0.83,3.9,null_shuffle,60m,kelt_pull,14
short,1,83,8993,-0.2,-1.3,48.2,-0.05,0.3,null_shuffle,60m,kelt_pull,14
short,3,83,8991,1.3,-6.6,47.0,0.18,2.9,null_shuffle,60m,kelt_pull,14
short,5,83,8989,-8.4,-7.1,44.6,-1.0,-5.7,null_shuffle,60m,kelt_pull,14
short,10,83,8984,-13.7,-12.0,45.8,-1.14,-8.4,null_shuffle,60m,kelt_pull,14
short,20,83,8974,-8.2,-25.5,45.8,-0.48,2.4,null_shuffle,60m,kelt_pull,14
long,1,3,1304,-135.2,-145.5,0.0,-5.82,-138.9,null_shuffle,daily,compress_bo,15
long,3,3,1302,-89.1,-49.8,0.0,-1.66,-99.8,null_shuffle,daily,compress_bo,15
long,5,3,1300,-27.7,-12.4,33.3,-0.61,-45.6,null_shuffle,daily,compress_bo,15
long,10,3,1295,45.7,-18.2,33.3,0.48,11.4,null_shuffle,daily,compress_bo,15
long,20,3,1285,-36.7,-221.4,33.3,-0.17,-100.8,null_shuffle,daily,compress_bo,15
short,1,1,1304,,,,,,null_shuffle,daily,compress_bo,15
short,3,1,1302,,,,,,null_shuffle,daily,compress_bo,15
short,5,1,1300,,,,,,null_shuffle,daily,compress_bo,15
short,10,1,1295,,,,,,null_shuffle,daily,compress_bo,15
short,20,1,1285,,,,,,null_shuffle,daily,compress_bo,15
long,1,16,1304,22.7,43.8,62.5,1.09,19.0,null_shuffle,daily,kelt_pull,15
long,3,16,1302,89.2,88.8,75.0,2.28,78.4,null_shuffle,daily,kelt_pull,15
long,5,16,1300,105.5,123.9,68.8,2.37,87.7,null_shuffle,daily,kelt_pull,15
long,10,16,1295,168.7,115.5,62.5,1.83,134.4,null_shuffle,daily,kelt_pull,15
long,20,16,1285,237.4,167.7,68.8,2.43,173.4,null_shuffle,daily,kelt_pull,15
short,1,8,1304,-26.4,-50.6,37.5,-0.69,-22.7,null_shuffle,daily,kelt_pull,15
short,3,8,1302,-157.1,-134.0,25.0,-1.76,-146.3,null_shuffle,daily,kelt_pull,15
short,5,8,1300,-90.4,-55.9,37.5,-1.12,-72.6,null_shuffle,daily,kelt_pull,15
short,10,7,1295,-109.2,-219.3,28.6,-1.32,-74.9,null_shuffle,daily,kelt_pull,15
short,20,7,1285,-304.6,-284.8,14.3,-3.41,-240.5,null_shuffle,daily,kelt_pull,15
long,1,33,1304,9.5,-1.9,42.4,0.54,5.8,null_shuffle,daily,donch100,15
long,3,33,1302,-13.0,-20.1,42.4,-0.54,-23.7,null_shuffle,daily,donch100,15
long,5,33,1300,16.6,-3.7,48.5,0.45,-1.2,null_shuffle,daily,donch100,15
long,10,33,1295,25.0,13.6,54.5,0.56,-9.3,null_shuffle,daily,donch100,15
long,20,33,1285,75.7,-34.7,48.5,1.08,11.7,null_shuffle,daily,donch100,15
short,1,20,1304,-21.3,-24.2,20.0,-1.14,-17.6,null_shuffle,daily,donch100,15
short,3,20,1302,-24.1,-41.8,30.0,-0.77,-13.4,null_shuffle,daily,donch100,15
short,5,20,1300,-61.7,-104.5,40.0,-1.28,-43.9,null_shuffle,daily,donch100,15
short,10,20,1295,-102.1,-102.8,40.0,-1.86,-67.8,null_shuffle,daily,donch100,15
short,20,19,1285,-184.4,-242.9,26.3,-3.42,-120.3,null_shuffle,daily,donch100,15
long,1,19,1304,-1.3,-4.7,42.1,-0.06,-5.0,null_shuffle,daily,donch260,15
long,3,19,1302,3.5,-20.3,42.1,0.08,-7.2,null_shuffle,daily,donch260,15
long,5,19,1300,18.9,-17.8,47.4,0.35,1.1,null_shuffle,daily,donch260,15
long,10,19,1295,17.2,6.9,52.6,0.33,-17.0,null_shuffle,daily,donch260,15
long,20,19,1285,3.8,-87.5,36.8,0.05,-60.3,null_shuffle,daily,donch260,15
short,1,1,1304,,,,,,null_shuffle,daily,donch260,15
short,3,1,1302,,,,,,null_shuffle,daily,donch260,15
short,5,1,1300,,,,,,null_shuffle,daily,donch260,15
short,10,1,1295,,,,,,null_shuffle,daily,donch260,15
short,20,0,1285,,,,,,null_shuffle,daily,donch260,15
long,1,27,8993,7.9,3.5,66.7,1.01,7.4,null_shuffle,60m,compress_bo,15
long,3,27,8991,-17.2,-7.9,37.0,-0.84,-18.8,null_shuffle,60m,compress_bo,15
long,5,27,8989,-8.8,-2.4,48.1,-0.4,-11.5,null_shuffle,60m,compress_bo,15
long,10,27,8984,9.5,40.6,59.3,0.54,4.2,null_shuffle,60m,compress_bo,15
long,20,27,8974,-23.3,-82.2,44.4,-0.68,-33.8,null_shuffle,60m,compress_bo,15
short,1,27,8993,5.7,1.2,59.3,0.86,6.2,null_shuffle,60m,compress_bo,15
short,3,27,8991,24.5,14.4,59.3,2.1,26.1,null_shuffle,60m,compress_bo,15
short,5,27,8989,20.0,9.8,59.3,1.51,22.7,null_shuffle,60m,compress_bo,15
short,10,27,8984,-10.1,11.3,55.6,-0.49,-4.8,null_shuffle,60m,compress_bo,15
short,20,27,8974,9.0,54.3,55.6,0.3,19.5,null_shuffle,60m,compress_bo,15
long,1,97,8993,-0.6,-4.0,47.4,-0.2,-1.1,null_shuffle,60m,kelt_pull,15
long,3,97,8991,4.2,1.3,50.5,0.76,2.6,null_shuffle,60m,kelt_pull,15
long,5,97,8989,5.5,0.7,50.5,0.77,2.8,null_shuffle,60m,kelt_pull,15
long,10,97,8984,19.9,11.4,54.6,1.82,14.5,null_shuffle,60m,kelt_pull,15
long,20,97,8974,11.9,1.8,51.5,0.77,1.4,null_shuffle,60m,kelt_pull,15
short,1,85,8993,2.1,-2.0,48.2,0.6,2.7,null_shuffle,60m,kelt_pull,15
short,3,85,8991,-1.9,-8.5,43.5,-0.29,-0.3,null_shuffle,60m,kelt_pull,15
short,5,85,8989,5.5,-2.0,48.2,0.66,8.2,null_shuffle,60m,kelt_pull,15
short,10,85,8984,5.7,5.6,54.1,0.58,11.0,null_shuffle,60m,kelt_pull,15
short,20,85,8974,0.9,-10.6,44.7,0.06,11.4,null_shuffle,60m,kelt_pull,15
long,1,1,1304,,,,,,null_shuffle,daily,compress_bo,16
long,3,1,1302,,,,,,null_shuffle,daily,compress_bo,16
long,5,1,1300,,,,,,null_shuffle,daily,compress_bo,16
long,10,1,1295,,,,,,null_shuffle,daily,compress_bo,16
long,20,1,1285,,,,,,null_shuffle,daily,compress_bo,16
short,1,3,1304,-1.2,-17.7,33.3,-0.02,2.5,null_shuffle,daily,compress_bo,16
short,3,3,1302,-59.8,-130.5,33.3,-0.78,-48.9,null_shuffle,daily,compress_bo,16
short,5,3,1300,-172.8,-263.5,33.3,-1.9,-154.7,null_shuffle,daily,compress_bo,16
short,10,3,1295,-127.3,-51.4,33.3,-0.63,-91.4,null_shuffle,daily,compress_bo,16
short,20,3,1285,-210.5,-38.6,0.0,-1.21,-139.5,null_shuffle,daily,compress_bo,16
long,1,13,1304,-1.7,17.2,61.5,-0.08,-5.4,null_shuffle,daily,kelt_pull,16
long,3,13,1302,-24.6,-18.2,46.2,-0.47,-35.5,null_shuffle,daily,kelt_pull,16
long,5,13,1300,-14.5,46.3,61.5,-0.21,-32.6,null_shuffle,daily,kelt_pull,16
long,10,13,1295,-57.5,-28.2,38.5,-0.63,-93.4,null_shuffle,daily,kelt_pull,16
long,20,13,1285,-12.9,-109.5,38.5,-0.12,-83.9,null_shuffle,daily,kelt_pull,16
short,1,12,1304,-5.1,20.9,58.3,-0.22,-1.4,null_shuffle,daily,kelt_pull,16
short,3,12,1302,-7.2,7.4,50.0,-0.3,3.7,null_shuffle,daily,kelt_pull,16
short,5,12,1300,-60.7,-54.8,16.7,-1.84,-42.6,null_shuffle,daily,kelt_pull,16
short,10,12,1295,-104.1,-184.4,25.0,-1.89,-68.2,null_shuffle,daily,kelt_pull,16
short,20,12,1285,-77.8,46.7,58.3,-0.83,-6.8,null_shuffle,daily,kelt_pull,16
long,1,33,1304,32.1,24.3,57.6,1.68,28.4,null_shuffle,daily,donch100,16
long,3,33,1302,56.2,36.3,60.6,1.83,45.3,null_shuffle,daily,donch100,16
long,5,33,1300,85.5,86.4,63.6,2.21,67.4,null_shuffle,daily,donch100,16
long,10,33,1295,97.8,5.4,51.5,1.76,61.9,null_shuffle,daily,donch100,16
long,20,33,1285,152.3,76.6,60.6,1.75,81.3,null_shuffle,daily,donch100,16
short,1,20,1304,-14.9,-27.3,40.0,-0.69,-11.2,null_shuffle,daily,donch100,16
short,3,20,1302,-32.0,-66.9,30.0,-0.87,-21.1,null_shuffle,daily,donch100,16
short,5,20,1300,-35.8,-85.5,30.0,-0.68,-17.7,null_shuffle,daily,donch100,16
short,10,20,1295,-27.6,-64.9,35.0,-0.4,8.3,null_shuffle,daily,donch100,16
short,20,20,1285,-198.5,-205.7,25.0,-1.85,-127.6,null_shuffle,daily,donch100,16
long,1,28,1304,22.7,24.3,60.7,1.4,19.0,null_shuffle,daily,donch260,16
long,3,28,1302,47.4,35.1,57.1,1.59,36.5,null_shuffle,daily,donch260,16
long,5,28,1300,88.6,88.0,64.3,2.31,70.5,null_shuffle,daily,donch260,16
long,10,28,1295,121.9,146.8,57.1,2.04,85.9,null_shuffle,daily,donch260,16
long,20,28,1285,194.2,294.2,57.1,2.08,123.2,null_shuffle,daily,donch260,16
short,1,10,1304,-51.5,-36.6,20.0,-2.78,-47.8,null_shuffle,daily,donch260,16
short,3,10,1302,-65.7,-121.2,30.0,-1.66,-54.7,null_shuffle,daily,donch260,16
short,5,10,1300,-52.0,-112.2,20.0,-0.64,-33.9,null_shuffle,daily,donch260,16
short,10,10,1295,-74.5,-165.5,20.0,-0.59,-38.6,null_shuffle,daily,donch260,16
short,20,10,1285,-172.3,-202.9,20.0,-1.4,-101.3,null_shuffle,daily,donch260,16
long,1,21,8993,10.1,5.7,61.9,0.98,9.5,null_shuffle,60m,compress_bo,16
long,3,21,8991,1.5,-0.2,47.6,0.09,-0.1,null_shuffle,60m,compress_bo,16
long,5,21,8989,10.1,2.0,61.9,0.54,7.4,null_shuffle,60m,compress_bo,16
long,10,21,8984,22.0,33.8,61.9,0.88,16.7,null_shuffle,60m,compress_bo,16
long,20,21,8974,2.7,39.6,57.1,0.07,-8.0,null_shuffle,60m,compress_bo,16
short,1,23,8993,-9.2,-1.1,39.1,-1.45,-8.7,null_shuffle,60m,compress_bo,16
short,3,23,8991,-16.2,-6.5,43.5,-1.08,-14.6,null_shuffle,60m,compress_bo,16
short,5,23,8989,-15.4,-10.7,43.5,-0.8,-12.8,null_shuffle,60m,compress_bo,16
short,10,23,8984,-40.6,-25.3,34.8,-1.73,-35.3,null_shuffle,60m,compress_bo,16
short,20,23,8974,-21.3,-50.7,34.8,-0.52,-10.5,null_shuffle,60m,compress_bo,16
long,1,98,8993,1.8,1.5,53.1,0.68,1.3,null_shuffle,60m,kelt_pull,16
long,3,98,8991,7.4,9.5,61.2,1.42,5.8,null_shuffle,60m,kelt_pull,16
long,5,98,8989,13.6,3.0,52.0,1.97,10.9,null_shuffle,60m,kelt_pull,16
long,10,98,8984,9.8,10.0,56.1,0.98,4.4,null_shuffle,60m,kelt_pull,16
long,20,98,8974,-10.6,3.0,53.1,-0.64,-21.3,null_shuffle,60m,kelt_pull,16
short,1,90,8993,-1.2,-0.9,46.7,-0.33,-0.6,null_shuffle,60m,kelt_pull,16
short,3,90,8991,-6.9,-4.3,47.8,-1.05,-5.3,null_shuffle,60m,kelt_pull,16
short,5,90,8989,-4.7,4.0,51.1,-0.56,-2.0,null_shuffle,60m,kelt_pull,16
short,10,90,8984,-19.3,-26.6,40.0,-1.58,-13.9,null_shuffle,60m,kelt_pull,16
short,20,90,8974,-25.2,-50.1,40.0,-1.43,-14.4,null_shuffle,60m,kelt_pull,16
long,1,0,1304,,,,,,null_shuffle,daily,compress_bo,17
long,3,0,1302,,,,,,null_shuffle,daily,compress_bo,17
long,5,0,1300,,,,,,null_shuffle,daily,compress_bo,17
long,10,0,1295,,,,,,null_shuffle,daily,compress_bo,17
long,20,0,1285,,,,,,null_shuffle,daily,compress_bo,17
short,1,2,1304,-86.8,-86.8,0.0,-3.49,-83.1,null_shuffle,daily,compress_bo,17
short,3,2,1302,-94.1,-94.1,0.0,-3.8,-83.2,null_shuffle,daily,compress_bo,17
short,5,2,1300,-158.6,-158.6,0.0,-200.34,-140.5,null_shuffle,daily,compress_bo,17
short,10,2,1295,-343.1,-343.1,0.0,-4.05,-306.8,null_shuffle,daily,compress_bo,17
short,20,2,1285,-718.6,-718.6,0.0,-7.73,-645.5,null_shuffle,daily,compress_bo,17
long,1,17,1304,9.5,1.6,52.9,0.42,5.8,null_shuffle,daily,kelt_pull,17
long,3,17,1302,12.5,8.3,52.9,0.38,1.6,null_shuffle,daily,kelt_pull,17
long,5,17,1300,43.9,33.5,64.7,1.04,25.8,null_shuffle,daily,kelt_pull,17
long,10,17,1295,107.5,38.4,58.8,1.52,71.2,null_shuffle,daily,kelt_pull,17
long,20,16,1285,157.5,146.2,56.2,1.84,84.5,null_shuffle,daily,kelt_pull,17
short,1,8,1304,16.7,25.2,62.5,0.55,20.4,null_shuffle,daily,kelt_pull,17
short,3,8,1302,-30.7,-23.2,37.5,-0.48,-19.8,null_shuffle,daily,kelt_pull,17
short,5,8,1300,-55.8,-35.4,25.0,-1.12,-37.7,null_shuffle,daily,kelt_pull,17
short,10,8,1295,-94.4,-102.7,25.0,-0.95,-58.2,null_shuffle,daily,kelt_pull,17
short,20,8,1285,-268.7,-311.0,25.0,-2.07,-195.6,null_shuffle,daily,kelt_pull,17
long,1,44,1304,3.5,8.2,52.3,0.27,-0.2,null_shuffle,daily,donch100,17
long,3,44,1302,15.7,42.4,63.6,0.75,4.8,null_shuffle,daily,donch100,17
long,5,44,1300,30.0,38.3,63.6,1.1,11.9,null_shuffle,daily,donch100,17
long,10,44,1295,39.3,105.1,61.4,0.92,3.0,null_shuffle,daily,donch100,17
long,20,44,1285,47.5,40.0,54.5,0.79,-25.5,null_shuffle,daily,donch100,17
short,1,17,1304,11.7,18.9,58.8,0.41,15.4,null_shuffle,daily,donch100,17
short,3,17,1302,-27.5,-17.5,41.2,-0.56,-16.6,null_shuffle,daily,donch100,17
short,5,17,1300,-33.7,-13.0,41.2,-0.51,-15.6,null_shuffle,daily,donch100,17
short,10,17,1295,-140.3,-139.5,29.4,-1.77,-104.0,null_shuffle,daily,donch100,17
short,20,17,1285,-294.3,-162.7,23.5,-2.52,-221.2,null_shuffle,daily,donch100,17
long,1,33,1304,-3.2,-10.6,45.5,-0.24,-6.9,null_shuffle,daily,donch260,17
long,3,33,1302,1.9,18.6,60.6,0.08,-9.0,null_shuffle,daily,donch260,17
long,5,33,1300,31.3,29.3,63.6,0.98,13.2,null_shuffle,daily,donch260,17
long,10,33,1295,13.2,85.9,57.6,0.24,-23.1,null_shuffle,daily,donch260,17
long,20,33,1285,44.9,50.5,57.6,0.67,-28.2,null_shuffle,daily,donch260,17
short,1,4,1304,80.8,3.6,50.0,0.86,84.5,null_shuffle,daily,donch260,17
short,3,4,1302,61.9,64.5,50.0,0.42,72.9,null_shuffle,daily,donch260,17
short,5,4,1300,86.2,26.7,50.0,0.61,104.3,null_shuffle,daily,donch260,17
short,10,4,1295,-62.9,-101.4,50.0,-0.59,-26.6,null_shuffle,daily,donch260,17
short,20,4,1285,132.8,174.7,50.0,0.45,205.8,null_shuffle,daily,donch260,17
long,1,33,8993,11.0,6.4,54.5,1.9,10.4,null_shuffle,60m,compress_bo,17
long,3,33,8991,27.8,12.5,69.7,2.9,26.3,null_shuffle,60m,compress_bo,17
long,5,33,8989,26.9,19.3,60.6,2.02,24.2,null_shuffle,60m,compress_bo,17
long,10,33,8984,49.3,-1.9,48.5,2.02,44.0,null_shuffle,60m,compress_bo,17
long,20,33,8974,52.7,65.9,69.7,2.03,42.0,null_shuffle,60m,compress_bo,17
short,1,14,8993,-5.1,-3.3,35.7,-1.11,-4.6,null_shuffle,60m,compress_bo,17
short,3,14,8991,-13.3,-24.1,28.6,-1.41,-11.7,null_shuffle,60m,compress_bo,17
short,5,14,8989,-11.5,-13.0,42.9,-0.8,-8.8,null_shuffle,60m,compress_bo,17
short,10,14,8984,-1.5,-8.0,50.0,-0.02,3.8,null_shuffle,60m,compress_bo,17
short,20,14,8974,-21.7,8.1,57.1,-0.3,-11.0,null_shuffle,60m,compress_bo,17
long,1,104,8993,-4.3,-4.2,42.3,-1.45,-4.8,null_shuffle,60m,kelt_pull,17
long,3,104,8991,-4.6,-0.1,50.0,-0.84,-6.2,null_shuffle,60m,kelt_pull,17
long,5,104,8989,-8.5,-5.1,43.3,-1.21,-11.2,null_shuffle,60m,kelt_pull,17
long,10,104,8984,-2.3,10.1,55.8,-0.22,-7.6,null_shuffle,60m,kelt_pull,17
long,20,104,8974,1.4,0.6,51.0,0.1,-9.3,null_shuffle,60m,kelt_pull,17
short,1,85,8993,-5.7,-2.9,43.5,-2.32,-5.2,null_shuffle,60m,kelt_pull,17
short,3,85,8991,-11.2,-4.6,44.7,-1.85,-9.6,null_shuffle,60m,kelt_pull,17
short,5,85,8989,-19.8,-10.7,40.0,-2.42,-17.1,null_shuffle,60m,kelt_pull,17
short,10,85,8984,-21.7,-14.7,38.8,-1.6,-16.4,null_shuffle,60m,kelt_pull,17
short,20,85,8974,-41.8,-43.1,38.8,-2.33,-31.1,null_shuffle,60m,kelt_pull,17
long,1,1,1304,,,,,,null_shuffle,daily,compress_bo,18
long,3,1,1302,,,,,,null_shuffle,daily,compress_bo,18
long,5,1,1300,,,,,,null_shuffle,daily,compress_bo,18
long,10,1,1295,,,,,,null_shuffle,daily,compress_bo,18
long,20,1,1285,,,,,,null_shuffle,daily,compress_bo,18
short,1,1,1304,,,,,,null_shuffle,daily,compress_bo,18
short,3,1,1302,,,,,,null_shuffle,daily,compress_bo,18
short,5,1,1300,,,,,,null_shuffle,daily,compress_bo,18
short,10,1,1295,,,,,,null_shuffle,daily,compress_bo,18
short,20,1,1285,,,,,,null_shuffle,daily,compress_bo,18
long,1,18,1304,-9.7,10.3,66.7,-0.51,-13.4,null_shuffle,daily,kelt_pull,18
long,3,18,1302,19.8,19.3,55.6,0.6,8.4,null_shuffle,daily,kelt_pull,18
long,5,18,1300,68.6,61.1,66.7,1.21,49.3,null_shuffle,daily,kelt_pull,18
long,10,18,1295,73.0,17.2,50.0,0.94,34.3,null_shuffle,daily,kelt_pull,18
long,20,18,1285,94.4,70.5,55.6,1.01,18.8,null_shuffle,daily,kelt_pull,18
short,1,11,1304,-52.9,-70.6,27.3,-2.43,-49.2,null_shuffle,daily,kelt_pull,18
short,3,11,1302,-64.4,-37.3,36.4,-1.73,-53.1,null_shuffle,daily,kelt_pull,18
short,5,11,1300,-82.2,-126.8,27.3,-1.57,-62.9,null_shuffle,daily,kelt_pull,18
short,10,11,1295,-114.8,6.0,54.5,-1.32,-76.1,null_shuffle,daily,kelt_pull,18
short,20,10,1285,59.7,-14.5,50.0,0.56,135.3,null_shuffle,daily,kelt_pull,18
long,1,48,1304,-13.7,-10.8,41.7,-1.42,-17.4,null_shuffle,daily,donch100,18
long,3,48,1302,5.4,22.0,56.2,0.26,-5.9,null_shuffle,daily,donch100,18
long,5,48,1300,33.8,57.4,60.4,1.34,14.6,null_shuffle,daily,donch100,18
long,10,48,1295,60.9,88.1,68.8,1.4,22.2,null_shuffle,daily,donch100,18
long,20,48,1285,188.6,174.8,68.8,2.87,113.0,null_shuffle,daily,donch100,18
short,1,16,1304,10.1,-26.6,25.0,0.27,13.8,null_shuffle,daily,donch100,18
short,3,16,1302,-9.5,-68.4,31.2,-0.18,1.8,null_shuffle,daily,donch100,18
short,5,16,1300,-4.6,-64.1,37.5,-0.08,14.7,null_shuffle,daily,donch100,18
short,10,16,1295,-54.6,-80.6,25.0,-0.54,-15.8,null_shuffle,daily,donch100,18
short,20,16,1285,-164.2,-197.7,25.0,-1.67,-88.6,null_shuffle,daily,donch100,18
long,1,28,1304,-17.3,-8.5,42.9,-1.26,-21.0,null_shuffle,daily,donch260,18
long,3,28,1302,19.2,54.0,64.3,0.67,7.8,null_shuffle,daily,donch260,18
long,5,28,1300,68.1,84.1,67.9,1.93,48.8,null_shuffle,daily,donch260,18
long,10,28,1295,58.2,101.9,64.3,0.9,19.4,null_shuffle,daily,donch260,18
long,20,28,1285,229.1,190.8,67.9,2.4,153.5,null_shuffle,daily,donch260,18
short,1,1,1304,,,,,,null_shuffle,daily,donch260,18
short,3,1,1302,,,,,,null_shuffle,daily,donch260,18
short,5,1,1300,,,,,,null_shuffle,daily,donch260,18
short,10,1,1295,,,,,,null_shuffle,daily,donch260,18
short,20,1,1285,,,,,,null_shuffle,daily,donch260,18
long,1,35,8993,12.5,10.2,65.7,1.68,12.0,null_shuffle,60m,compress_bo,18
long,3,35,8991,12.2,3.4,60.0,0.9,10.6,null_shuffle,60m,compress_bo,18
long,5,35,8989,14.5,10.9,57.1,0.91,11.9,null_shuffle,60m,compress_bo,18
long,10,35,8984,26.5,24.4,57.1,1.31,21.3,null_shuffle,60m,compress_bo,18
long,20,35,8974,44.8,34.2,71.4,1.53,34.5,null_shuffle,60m,compress_bo,18
short,1,24,8993,-2.7,-0.3,50.0,-0.38,-2.2,null_shuffle,60m,compress_bo,18
short,3,24,8991,-18.7,-20.2,33.3,-2.09,-17.1,null_shuffle,60m,compress_bo,18
short,5,24,8989,-1.6,-12.0,37.5,-0.19,1.1,null_shuffle,60m,compress_bo,18
short,10,24,8984,13.4,3.9,50.0,0.85,18.7,null_shuffle,60m,compress_bo,18
short,20,24,8974,-2.5,-14.6,41.7,-0.07,7.8,null_shuffle,60m,compress_bo,18
long,1,101,8993,8.1,4.9,61.4,2.62,7.6,null_shuffle,60m,kelt_pull,18
long,3,101,8991,16.8,14.0,61.4,3.24,15.2,null_shuffle,60m,kelt_pull,18
long,5,101,8989,21.3,19.1,61.4,2.73,18.6,null_shuffle,60m,kelt_pull,18
long,10,101,8984,17.2,18.9,54.5,1.59,11.9,null_shuffle,60m,kelt_pull,18
long,20,101,8974,29.9,27.4,53.5,1.96,19.7,null_shuffle,60m,kelt_pull,18
short,1,80,8993,-1.5,-1.0,46.2,-0.45,-0.9,null_shuffle,60m,kelt_pull,18
short,3,80,8991,-8.6,-7.3,43.8,-1.92,-7.0,null_shuffle,60m,kelt_pull,18
short,5,80,8989,-6.4,-11.5,41.2,-0.85,-3.8,null_shuffle,60m,kelt_pull,18
short,10,80,8984,-14.3,-23.1,43.8,-1.36,-9.0,null_shuffle,60m,kelt_pull,18
short,20,80,8974,-8.8,-42.9,42.5,-0.53,1.4,null_shuffle,60m,kelt_pull,18
long,1,1,1304,,,,,,null_shuffle,daily,compress_bo,19
long,3,1,1302,,,,,,null_shuffle,daily,compress_bo,19
long,5,1,1300,,,,,,null_shuffle,daily,compress_bo,19
long,10,1,1295,,,,,,null_shuffle,daily,compress_bo,19
long,20,1,1285,,,,,,null_shuffle,daily,compress_bo,19
short,1,1,1304,,,,,,null_shuffle,daily,compress_bo,19
short,3,1,1302,,,,,,null_shuffle,daily,compress_bo,19
short,5,1,1300,,,,,,null_shuffle,daily,compress_bo,19
short,10,1,1295,,,,,,null_shuffle,daily,compress_bo,19
short,20,1,1285,,,,,,null_shuffle,daily,compress_bo,19
long,1,16,1304,4.2,11.9,68.8,0.22,0.5,null_shuffle,daily,kelt_pull,19
long,3,16,1302,-13.8,-15.4,50.0,-0.33,-25.5,null_shuffle,daily,kelt_pull,19
long,5,16,1300,0.8,53.3,56.2,0.01,-18.7,null_shuffle,daily,kelt_pull,19
long,10,16,1295,28.8,-22.2,50.0,0.32,-11.1,null_shuffle,daily,kelt_pull,19
long,20,16,1285,17.2,7.7,50.0,0.15,-59.7,null_shuffle,daily,kelt_pull,19
short,1,10,1304,3.9,8.0,50.0,0.25,7.6,null_shuffle,daily,kelt_pull,19
short,3,10,1302,-39.1,-69.8,30.0,-1.18,-27.4,null_shuffle,daily,kelt_pull,19
short,5,10,1300,-24.2,-43.4,30.0,-0.55,-4.6,null_shuffle,daily,kelt_pull,19
short,10,10,1295,-16.9,-38.1,50.0,-0.15,23.1,null_shuffle,daily,kelt_pull,19
short,20,10,1285,-111.1,103.8,60.0,-0.54,-34.2,null_shuffle,daily,kelt_pull,19
long,1,39,1304,10.4,13.7,51.3,0.68,6.7,null_shuffle,daily,donch100,19
long,3,39,1302,30.7,24.0,56.4,1.2,19.0,null_shuffle,daily,donch100,19
long,5,39,1300,12.2,-7.9,48.7,0.37,-7.4,null_shuffle,daily,donch100,19
long,10,38,1295,72.6,52.5,55.3,2.06,32.7,null_shuffle,daily,donch100,19
long,20,37,1285,102.4,23.8,54.1,1.68,25.5,null_shuffle,daily,donch100,19
short,1,19,1304,19.3,30.2,73.7,0.91,23.0,null_shuffle,daily,donch100,19
short,3,19,1302,27.0,47.2,63.2,0.73,38.7,null_shuffle,daily,donch100,19
short,5,19,1300,-20.1,5.7,52.6,-0.52,-0.5,null_shuffle,daily,donch100,19
short,10,19,1295,-78.9,-27.0,47.4,-1.27,-39.0,null_shuffle,daily,donch100,19
short,20,19,1285,-37.4,34.8,57.9,-0.37,39.5,null_shuffle,daily,donch100,19
long,1,28,1304,20.7,24.5,57.1,1.1,17.0,null_shuffle,daily,donch260,19
long,3,28,1302,58.9,55.1,64.3,1.87,47.2,null_shuffle,daily,donch260,19
long,5,28,1300,33.5,36.2,57.1,0.94,13.9,null_shuffle,daily,donch260,19
long,10,27,1295,91.1,54.4,55.6,2.12,51.2,null_shuffle,daily,donch260,19
long,20,26,1285,110.8,217.0,57.7,1.39,33.9,null_shuffle,daily,donch260,19
short,1,12,1304,35.6,36.2,75.0,1.58,39.3,null_shuffle,daily,donch260,19
short,3,12,1302,64.4,96.3,66.7,1.59,76.1,null_shuffle,daily,donch260,19
short,5,12,1300,13.9,31.6,58.3,0.35,33.5,null_shuffle,daily,donch260,19
short,10,12,1295,-61.1,1.5,50.0,-0.81,-21.2,null_shuffle,daily,donch260,19
short,20,12,1285,95.1,113.7,66.7,1.02,172.1,null_shuffle,daily,donch260,19
long,1,29,8993,-0.8,-5.1,44.8,-0.14,-1.4,null_shuffle,60m,compress_bo,19
long,3,29,8991,-16.5,-3.8,44.8,-1.7,-18.1,null_shuffle,60m,compress_bo,19
long,5,29,8989,-6.2,-0.4,48.3,-0.45,-8.9,null_shuffle,60m,compress_bo,19
long,10,29,8984,-9.3,-22.5,31.0,-0.53,-14.6,null_shuffle,60m,compress_bo,19
long,20,29,8974,-2.1,16.6,51.7,-0.07,-12.5,null_shuffle,60m,compress_bo,19
short,1,14,8993,-4.1,-4.0,50.0,-0.7,-3.6,null_shuffle,60m,compress_bo,19
short,3,14,8991,-21.2,-21.1,35.7,-1.11,-19.6,null_shuffle,60m,compress_bo,19
short,5,14,8989,-44.1,-29.0,35.7,-2.07,-41.4,null_shuffle,60m,compress_bo,19
short,10,14,8984,-32.8,-17.4,21.4,-1.09,-27.5,null_shuffle,60m,compress_bo,19
short,20,14,8974,-24.9,-28.6,35.7,-0.85,-14.5,null_shuffle,60m,compress_bo,19
long,1,109,8993,-4.6,-2.4,45.9,-1.49,-5.2,null_shuffle,60m,kelt_pull,19
