Date,variant,net,stop_pts
2022-05-19,expand,-1542.5,30.5
2022-05-25,adr30,1095.0,27.75
2022-05-25,atr,1095.0,22.25
2022-05-25,hybMax,1095.0,27.75
2022-05-25,hybMax15,1095.0,33.5
2022-05-25,expand,1095.0,27.75
2022-05-26,adr30,-717.5,26.25
2022-05-26,atr,-692.5,13.5
2022-05-26,hybMax,-717.5,26.25
2022-05-26,hybMax15,-717.5,26.25
2022-05-26,expand,-717.5,26.25
2022-06-02,adr30,3732.5,23.5
2022-06-02,atr,3732.5,35.5
2022-06-02,hybMax,3732.5,35.5
2022-06-02,hybMax15,3732.5,53.25
2022-06-02,expand,3732.5,23.5
2022-06-02,adr30,2745.0,23.5
2022-06-02,atr,2745.0,24.5
2022-06-02,hybMax,2745.0,24.5
2022-06-02,hybMax15,2745.0,36.5
2022-06-02,expand,2745.0,23.5
2022-06-09,adr30,3632.5,21.0
2022-06-09,atr,3632.5,25.0
2022-06-09,hybMax,3632.5,25.0
2022-06-09,hybMax15,3632.5,37.5
2022-06-09,expand,3632.5,21.0
2022-06-14,adr30,907.5,22.75
2022-06-14,atr,907.5,33.75
2022-06-14,hybMax,907.5,33.75
2022-06-14,hybMax15,907.5,50.75
2022-06-14,expand,907.5,22.75
2022-06-28,adr30,1832.5,20.5
2022-06-28,atr,1832.5,22.25
2022-06-28,hybMax,1832.5,22.25
2022-06-28,hybMax15,1832.5,33.5
2022-06-28,expand,1832.5,29.75
2022-06-28,adr30,1170.0,20.5
2022-06-28,atr,1170.0,19.25
2022-06-28,hybMax,1170.0,20.5
2022-06-28,hybMax15,1170.0,28.75
2022-06-28,expand,1170.0,32.25
2022-07-21,adr30,107.5,18.5
2022-07-21,atr,-817.5,16.0
2022-07-21,hybMax,107.5,18.5
2022-07-21,hybMax15,107.5,23.75
2022-07-21,expand,107.5,18.5
2022-07-22,adr30,520.0,19.25
2022-07-22,atr,520.0,21.5
2022-07-22,hybMax,520.0,21.5
2022-07-22,hybMax15,520.0,32.0
2022-07-22,expand,520.0,19.25
