Date,policy,net
2023-06-13,P2,-205.0
2023-06-13,P2,-205.0
2023-06-13,P3,-205.0
2023-06-13,P3,-205.0
2023-06-14,P1,-205.0
2023-06-14,P2,-205.0
2023-06-14,P3,-205.0
2023-06-15,P1,-205.0
2023-06-15,P2,-205.0
2023-06-15,P3,-205.0
2023-06-20,P1,-205.0
2023-06-20,P2,-205.0
2023-06-20,P3,-205.0
2023-06-26,P1,620.0
2023-06-26,P2,620.0
2023-06-26,P2,-205.0
2023-06-26,P3,620.0
2023-06-26,P3,-205.0
2023-06-28,P1,-205.0
2023-06-28,P2,-205.0
2023-06-28,P3,-205.0
2023-06-29,P1,-205.0
2023-06-29,P1,-205.0
2023-06-29,P2,-205.0
2023-06-29,P2,-205.0
2023-06-29,P3,-205.0
2023-06-29,P3,-205.0
2023-06-30,P1,-205.0
2023-06-30,P1,-205.0
2023-06-30,P2,-205.0
2023-06-30,P2,-205.0
2023-06-30,P2,-205.0
2023-06-30,P3,-205.0
2023-06-30,P3,-205.0
2023-06-30,P3,-205.0
2023-07-06,P1,-205.0
2023-07-06,P2,-205.0
2023-07-06,P3,-205.0
2023-07-12,P1,-205.0
2023-07-12,P2,-205.0
2023-07-12,P3,-205.0
2023-07-17,P1,-205.0
2023-07-17,P2,-205.0
