Date,dir,stop,target,dist_pts,net
2021-08-20,L,abr2.0,t3x,4.75,-242.5
2021-08-20,L,abr3.0,eod,7.0,107.5
2021-08-20,L,abr3.0,t2x,7.0,-355.0
2021-08-20,L,abr3.0,t3x,7.0,-355.0
2021-08-20,L,abr4.0,eod,9.25,107.5
2021-08-20,L,abr4.0,t2x,9.25,-467.5
2021-08-20,L,abr4.0,t3x,9.25,-467.5
2021-08-20,L,adr.10,eod,3.5,-180.0
2021-08-20,L,adr.10,t2x,3.5,-180.0
2021-08-20,L,adr.10,t3x,3.5,-180.0
2021-08-20,L,adr.15,eod,5.5,107.5
2021-08-20,L,adr.15,t2x,5.5,-280.0
2021-08-20,L,adr.15,t3x,5.5,-280.0
2021-08-20,L,adr.20,eod,7.25,107.5
2021-08-20,L,adr.20,t2x,7.25,-367.5
2021-08-20,L,adr.20,t3x,7.25,-367.5
2021-08-20,L,adr.30,eod,10.75,107.5
2021-08-20,L,adr.30,t2x,10.75,-542.5
2021-08-20,L,adr.30,t3x,10.75,-542.5
2021-08-20,L,fx4p,eod,4.0,-205.0
2021-08-20,L,fx4p,t2x,4.0,-205.0
2021-08-20,L,fx4p,t3x,4.0,-205.0
2021-08-24,L,abr1.0,eod,2.0,-105.0
2021-08-24,L,abr1.0,t2x,2.0,-105.0
2021-08-24,L,abr1.0,t3x,2.0,-105.0
