DateTime,Open,High,Low,Close,K,D,KSignalUp,KSignalDn,ZoneSignal
2024-07-11 15:15:00,6146.75,6170.25,6092.50,6102.25,66.8293,66.8293,0,0,0
2024-07-12 15:15:00,6101.00,6170.75,6083.75,6127.25,70.7071,70.7071,0,0,0
2024-07-15 15:15:00,6143.50,6181.25,6128.00,6145.50,73.2710,73.2710,0,0,0
2024-07-16 15:15:00,6151.25,6183.75,6135.50,6179.75,97.0642,97.0642,0,1,-1
2024-07-17 15:15:00,6177.50,6180.25,6094.25,6101.50,25.5656,25.5656,0,0,0
2024-07-18 15:15:00,6106.50,6126.50,6032.75,6057.00,16.0596,16.0596,1,0,1
2024-07-19 15:15:00,6065.00,6070.00,6004.50,6016.25,6.5551,6.5551,1,0,1
2024-07-22 15:15:00,6027.00,6078.50,6016.00,6073.25,38.3543,38.3543,0,0,0
2024-07-23 15:15:00,6070.25,6092.25,6050.25,6061.75,31.9386,31.9386,0,0,0
2024-07-24 15:15:00,6047.50,6047.50,5924.50,5934.50,3.8573,3.8573,1,0,1
2024-07-25 15:15:00,5945.00,5995.75,5895.00,5903.75,3.0303,3.0303,1,0,1
2024-07-26 15:15:00,5908.50,5990.75,5907.75,5961.50,23.3129,23.3129,0,0,0
2024-07-29 15:15:00,5959.00,5997.00,5943.50,5965.50,30.4536,30.4536,0,0,0
2024-07-30 15:15:00,5967.00,5990.00,5895.50,5935.00,20.2788,20.2788,0,0,0
2024-07-31 15:15:00,5917.25,6051.00,5914.00,6020.50,63.6248,63.6248,0,0,0
2024-08-01 15:15:00,6037.25,6063.25,5907.25,5942.75,24.2079,24.2079,0,0,0
2024-08-02 15:15:00,5926.75,5935.75,5794.25,5838.50,16.4498,16.4498,1,0,1
2024-08-05 15:15:00,5792.50,5808.00,5582.50,5680.00,20.2808,20.2808,0,0,0
2024-08-06 15:15:00,5712.50,5804.50,5684.25,5728.75,30.4212,30.4212,0,0,0
2024-08-07 15:15:00,5704.00,5821.75,5659.25,5690.00,22.3609,22.3609,0,0,0
2024-08-08 15:15:00,5670.75,5823.50,5644.50,5810.75,47.4779,47.4779,0,0,0
2024-08-09 15:15:00,5810.75,5847.75,5782.00,5832.75,52.0541,52.0541,0,0,0
2024-08-12 15:15:00,5826.75,5859.25,5810.25,5832.25,51.9501,51.9501,0,0,0
2024-08-13 15:15:00,5835.00,5923.75,5830.00,5918.00,94.9752,94.9752,0,1,-1
2024-08-14 15:15:00,5920.00,5950.25,5901.25,5939.50,97.0768,97.0768,0,1,-1
2024-08-15 15:15:00,5943.75,6034.25,5934.25,6030.00,98.9096,98.9096,0,1,-1
2024-08-16 15:15:00,6031.00,6048.75,5999.00,6040.75,98.0210,98.0210,0,0,0
2024-08-19 15:15:00,6046.50,6094.25,6027.75,6092.50,99.6109,99.6109,0,1,-1
2024-08-20 15:15:00,6092.00,6106.25,6070.25,6082.25,92.5983,92.5983,0,0,0
2024-08-21 15:15:00,6082.00,6117.75,6076.00,6104.00,95.5285,95.5285,0,1,-1
2024-08-22 15:15:00,6104.50,6127.75,6045.25,6056.50,76.0705,76.0705,0,0,0
2024-08-23 15:15:00,6060.25,6124.75,6060.25,6115.00,94.3709,94.3709,0,1,-1
2024-08-26 15:15:00,6113.00,6131.50,6082.25,6099.50,83.7769,83.7769,0,0,0
2024-08-27 15:15:00,6092.50,6112.00,6074.00,6107.25,81.6981,81.6981,0,0,0
2024-08-28 15:15:00,6106.25,6113.00,6038.50,6072.75,43.3735,43.3735,0,0,0
2024-08-29 15:15:00,6043.00,6126.25,6023.75,6072.50,45.2436,45.2436,0,0,0
2024-08-30 15:15:00,6081.00,6127.50,6056.75,6123.50,92.5754,92.5754,0,1,-1
2024-09-02 12:00:00,6118.75,6129.50,6100.50,6127.50,96.2877,96.2877,0,1,0
2024-09-03 15:15:00,6127.50,6132.25,5979.25,6004.25,16.3399,16.3399,1,0,1
2024-09-04 15:15:00,6001.00,6027.50,5969.25,5992.50,14.2638,14.2638,1,0,0
2024-09-05 15:15:00,5990.00,6019.75,5952.50,5974.75,12.3783,12.3783,1,0,0
2024-09-06 15:15:00,5975.50,5995.00,5856.50,5882.00,9.2475,9.2475,1,0,1
2024-09-09 15:15:00,5872.50,5955.50,5867.75,5942.00,31.0063,31.0063,0,0,0
2024-09-10 15:15:00,5950.75,5968.50,5910.75,5966.50,39.8912,39.8912,0,0,0
2024-09-11 15:15:00,5961.75,6030.00,5874.50,6023.75,60.6528,60.6528,0,0,0
2024-09-12 15:15:00,6020.50,6069.50,6002.75,6064.75,75.5213,75.5213,0,0,0
2024-09-13 15:15:00,6061.00,6104.00,6059.75,6092.25,95.2525,95.2525,0,1,-1
2024-09-16 15:15:00,6085.75,6104.50,6071.25,6101.00,98.5887,98.5887,0,1,-1
2024-09-17 15:15:00,6096.00,6138.75,6079.50,6102.00,86.9796,86.9796,0,0,0
2024-09-18 15:15:00,6102.75,6157.50,6077.00,6081.75,73.8568,73.8568,0,0,0
2024-09-19 15:15:00,6094.75,6199.25,6092.75,6179.75,93.9954,93.9954,0,1,-1
2024-09-20 15:15:00,6177.75,6178.50,6135.25,6163.75,89.0685,89.0685,0,0,0
2024-09-23 15:15:00,6163.75,6186.25,6147.00,6178.50,89.4402,89.4402,0,1,-1
2024-09-24 15:15:00,6175.75,6196.00,6156.50,6193.75,96.0573,96.0573,0,1,-1
2024-09-25 15:15:00,6194.00,6200.50,6169.75,6180.75,84.7195,84.7195,0,0,0
2024-09-26 15:15:00,6185.25,6231.75,6180.00,6206.25,83.5218,83.5218,0,0,0
2024-09-27 15:15:00,6206.00,6223.25,6183.75,6193.00,74.9596,74.9596,0,0,0
2024-09-30 15:15:00,6185.75,6222.00,6158.00,6216.00,88.6691,88.6691,0,1,-1
2024-10-01 15:15:00,6208.75,6224.25,6134.75,6161.50,27.5773,27.5773,0,0,0
2024-10-02 15:15:00,6162.00,6175.00,6125.75,6162.00,34.1981,34.1981,0,0,0
2024-10-03 15:15:00,6171.25,6174.50,6127.50,6151.25,24.0566,24.0566,0,0,0
2024-10-04 15:15:00,6147.50,6206.50,6142.75,6201.75,71.6981,71.6981,0,0,0
2024-10-07 15:15:00,6203.75,6209.75,6136.00,6146.50,19.5755,19.5755,1,0,1
2024-10-08 15:15:00,6154.25,6208.50,6127.00,6200.00,75.3807,75.3807,0,0,0
2024-10-09 15:15:00,6201.00,6248.25,6182.50,6243.00,95.7143,95.7143,0,1,-1
2024-10-10 15:15:00,6237.75,6245.75,6213.25,6230.75,85.7143,85.7143,0,0,0
2024-10-11 15:15:00,6232.75,6270.00,6217.75,6261.50,94.1075,94.1075,0,1,-1
2024-10-14 15:15:00,6256.25,6320.25,6251.75,6310.00,94.6960,94.6960,0,1,-1
2024-10-15 15:15:00,6316.00,6317.25,6251.75,6264.50,71.1514,71.1514,0,0,0
2024-10-16 15:15:00,6262.75,6294.50,6255.00,6288.75,83.6999,83.6999,0,1,-1
2024-10-17 15:15:00,6284.50,6329.00,6273.00,6288.75,80.0743,80.0743,0,0,0
2024-10-18 15:15:00,6290.00,6317.25,6278.00,6307.75,85.4949,85.4949,0,1,-1
2024-10-21 15:15:00,6313.25,6317.25,6266.75,6298.00,73.2181,73.2181,0,0,0
2024-10-22 15:15:00,6302.50,6306.00,6263.00,6294.25,68.7640,68.7640,0,0,0
2024-10-23 15:15:00,6289.00,6295.50,6202.75,6239.50,29.1089,29.1089,0,0,0
2024-10-24 15:15:00,6245.75,6271.75,6224.25,6250.75,38.0198,38.0198,0,0,0
2024-10-25 15:15:00,6255.00,6302.50,6236.75,6247.75,35.6436,35.6436,0,0,0
2024-10-28 15:15:00,6258.75,6286.25,6258.75,6263.25,47.9208,47.9208,0,0,0
2024-10-29 15:15:00,6268.75,6285.50,6239.25,6272.75,61.1354,61.1354,0,0,0
2024-10-30 15:15:00,6284.75,6294.75,6242.00,6253.75,44.5415,44.5415,0,0,0
2024-10-31 15:15:00,6241.75,6245.75,6135.00,6140.25,3.0702,3.0702,1,0,1
2024-11-01 15:15:00,6143.75,6205.50,6134.25,6160.00,15.3046,15.3046,0,0,0
2024-11-04 15:15:00,6143.50,6178.25,6126.00,6145.00,10.7649,10.7649,1,0,0
2024-11-05 15:15:00,6154.00,6225.00,6136.75,6214.00,49.8584,49.8584,0,0,0
2024-11-06 15:15:00,6222.00,6368.75,6216.50,6360.00,96.3955,96.3955,0,1,-1
2024-11-07 15:15:00,6365.25,6414.75,6352.75,6405.50,96.7965,96.7965,0,1,-1
2024-11-08 15:15:00,6409.50,6442.25,6392.00,6427.00,95.1779,95.1779,0,0,0
2024-11-11 15:15:00,6431.75,6455.00,6415.25,6433.50,93.4650,93.4650,0,0,0
2024-11-12 15:15:00,6431.00,6438.25,6388.50,6414.75,87.7660,87.7660,0,0,0
2024-11-13 15:15:00,6414.00,6437.00,6393.50,6417.75,88.6778,88.6778,0,1,0
2024-11-14 15:15:00,6419.50,6427.00,6366.00,6380.00,76.4336,76.4336,0,0,0
2024-11-15 15:15:00,6373.75,6376.00,6278.50,6298.25,34.2767,34.2767,0,0,0
2024-11-18 15:15:00,6301.50,6334.75,6288.25,6321.75,24.5042,24.5042,0,0,0
2024-11-19 15:15:00,6320.75,6349.25,6256.75,6340.50,42.2446,42.2446,0,0,0
2024-11-20 15:15:00,6339.50,6359.50,6281.75,6339.50,41.7402,41.7402,0,0,0
2024-11-21 15:15:00,6339.00,6386.75,6307.00,6372.25,63.6364,63.6364,0,0,0
2024-11-22 15:15:00,6368.75,6395.25,6342.50,6388.75,73.2316,73.2316,0,0,0
2024-11-25 15:15:00,6407.75,6441.75,6384.25,6408.25,81.8919,81.8919,0,1,0
2024-11-26 15:15:00,6415.00,6445.75,6378.00,6440.00,96.9577,96.9577,0,1,0
2024-11-27 15:15:00,6443.50,6448.75,6402.00,6416.75,83.3333,83.3333,0,0,0
2024-11-28 12:00:00,6416.75,6434.25,6416.50,6431.50,91.0156,91.0156,0,1,-1
2024-11-29 12:15:00,6429.00,6461.75,6419.75,6453.25,95.2778,95.2778,0,1,-1
2024-12-02 15:15:00,6453.25,6470.25,6437.75,6463.50,95.8652,95.8652,0,1,0
2024-12-03 15:15:00,6465.75,6472.50,6449.25,6465.00,94.2308,94.2308,0,0,0
2024-12-04 15:15:00,6468.75,6504.00,6464.75,6500.25,97.0238,97.0238,0,1,-1
2024-12-05 15:15:00,6497.00,6509.00,6483.25,6490.50,85.8779,85.8779,0,0,0
2024-12-06 15:15:00,6487.25,6512.75,6477.75,6500.75,89.1648,89.1648,0,1,-1
2024-12-09 15:15:00,6498.00,6507.50,6461.75,6467.50,52.9870,52.9870,0,0,0
2024-12-10 15:15:00,6467.00,6477.00,6441.50,6448.00,30.3763,30.3763,0,0,0
2024-12-11 15:15:00,6454.50,6504.25,6447.25,6494.50,75.6667,75.6667,0,0,0
2024-12-12 15:15:00,6489.25,6490.00,6457.25,6462.50,29.4737,29.4737,0,0,0
2024-12-13 15:15:00,6466.75,6487.00,6443.00,6457.25,22.1053,22.1053,0,0,0
2024-12-16 15:15:00,6457.00,6495.25,6453.50,6481.25,55.7895,55.7895,0,0,0
2024-12-17 15:15:00,6481.75,6484.25,6445.75,6458.75,24.2105,24.2105,0,0,0
2024-12-18 15:15:00,6458.25,6479.50,6238.00,6271.75,12.5232,12.5232,1,0,1
2024-12-19 15:15:00,6281.00,6336.75,6262.75,6265.50,10.3286,10.3286,1,0,0
2024-12-20 15:15:00,6276.00,6382.25,6197.50,6333.25,44.2543,44.2543,0,0,0
2024-12-23 15:15:00,6333.25,6374.50,6296.50,6367.50,57.0949,57.0949,0,0,0
2024-12-24 12:15:00,6369.25,6431.00,6361.50,6429.50,77.9177,77.9177,0,0,0
2024-12-26 15:15:00,6430.75,6439.00,6394.75,6426.75,76.9941,76.9941,0,0,0
2024-12-27 15:15:00,6423.50,6426.75,6314.25,6358.50,56.1465,56.1465,0,0,0
2024-12-30 15:15:00,6360.25,6367.75,6249.75,6290.25,32.8901,32.8901,0,0,0
2024-12-31 15:15:00,6286.50,6314.75,6248.75,6267.25,28.8820,28.8820,0,0,0
2025-01-02 15:15:00,6280.75,6326.75,6206.25,6248.00,20.9110,20.9110,0,0,0
2025-01-03 15:15:00,6252.50,6328.25,6242.75,6321.00,49.3018,49.3018,0,0,0
