level,lo,hi,grid,band,side,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
cr,1,365,m50,none,ge,549,0.6557377049180327,0.663023679417122,0.0,632,0.805379746835443,0.810126582278481,0.0
cr,1,365,m50,b30,ge,549,0.6557377049180327,0.663023679417122,0.0,632,0.805379746835443,0.810126582278481,0.0
cr,2,365,m100,none,ge,549,0.6557377049180327,0.6557377049180327,0.0,632,0.7879746835443038,0.7895569620253164,0.0
cr,2,365,m100,b30,ge,549,0.6557377049180327,0.6557377049180327,0.0,632,0.7879746835443038,0.7895569620253164,0.0
cr,1,365,m50,b20,none,549,0.6520947176684881,0.6593806921675774,0.0,632,0.7689873417721519,0.7753164556962026,0.0
cr,1,365,m100,b20,none,549,0.6520947176684881,0.6539162112932605,0.0,632,0.754746835443038,0.7579113924050633,0.0
cr,1,365,m25,none,none,549,0.6484517304189436,0.663023679417122,0.0,632,0.7278481012658228,0.7563291139240507,0.0
cr,1,365,m25,none,ge,549,0.6484517304189436,0.663023679417122,0.0,632,0.7784810126582279,0.7974683544303798,0.0
cr,1,365,m25,b30,none,549,0.6484517304189436,0.663023679417122,0.0,632,0.7278481012658228,0.7563291139240507,0.0
cr,1,365,m25,b30,ge,549,0.6484517304189436,0.663023679417122,0.0,632,0.7784810126582279,0.7974683544303798,0.0
cr,1,365,m50,b20,ge,549,0.6466302367941712,0.6539162112932605,0.0,632,0.805379746835443,0.8117088607594937,0.0
cr,1,365,m100,none,ge,549,0.6466302367941712,0.6466302367941712,0.0,632,0.7626582278481012,0.7642405063291139,0.0
cr,1,365,m100,b30,ge,549,0.6466302367941712,0.6466302367941712,0.0,632,0.7626582278481012,0.7642405063291139,0.0
cr,2,180,m25,none,ge,549,0.6466302367941712,0.6539162112932605,0.0,632,0.8575949367088608,0.8639240506329114,0.0
cr,2,180,m25,b20,ge,549,0.6466302367941712,0.6539162112932605,0.0,632,0.8575949367088608,0.865506329113924,0.0
cr,2,180,m25,b30,ge,549,0.6466302367941712,0.6539162112932605,0.0,632,0.8575949367088608,0.8639240506329114,0.0
cr,2,180,m50,none,ge,549,0.644808743169399,0.6520947176684881,0.0,632,0.8575949367088608,0.8623417721518988,0.0
cr,2,180,m50,b20,ge,549,0.644808743169399,0.6520947176684881,0.0,632,0.8575949367088608,0.8639240506329114,0.0
cr,2,180,m50,b30,ge,549,0.644808743169399,0.6520947176684881,0.0,632,0.8575949367088608,0.8623417721518988,0.0
cr,2,365,m100,b20,ge,549,0.644808743169399,0.644808743169399,0.0,632,0.7879746835443038,0.7911392405063291,0.0
cr,2,180,m100,none,none,549,0.6411657559198543,0.6429872495446266,0.0,632,0.7879746835443038,0.7895569620253164,0.0
cr,2,180,m100,b20,none,549,0.6411657559198543,0.6429872495446266,0.0,632,0.7879746835443038,0.7911392405063291,0.0
cr,2,180,m100,b30,none,549,0.6411657559198543,0.6429872495446266,0.0,632,0.7879746835443038,0.7895569620253164,0.0
cr,1,365,m25,b20,none,549,0.639344262295082,0.6539162112932605,0.0,632,0.7278481012658228,0.7579113924050633,0.0
cr,1,365,m25,b20,ge,549,0.639344262295082,0.6539162112932605,0.0,632,0.7784810126582279,0.7990506329113924,0.0
cr,1,365,m100,b20,ge,549,0.6357012750455373,0.6357012750455373,0.0,632,0.7626582278481012,0.7658227848101266,0.0
cr,2,150,m25,none,none,549,0.6357012750455373,0.6466302367941712,0.0,632,0.8512658227848101,0.8575949367088608,0.0
cr,2,150,m25,b30,none,549,0.6357012750455373,0.6466302367941712,0.0,632,0.8512658227848101,0.8575949367088608,0.0
