spec,n_fit,nvalid_fit,medabs_fit,medbias_fit,exact_fit,within5_fit,agree_fit,n_hold,nvalid_hold,medabs_hold,medbias_hold,exact_hold,within5_hold,agree_hold
d30|cumhi_maxswing,548,409,195.0,-70.0,0.0,0.0,0.4156479217603912,632,315,165.0,-80.0,0.0,0.0031746031746031746,0.38412698412698415
d30|cumhi_lowest,548,409,195.0,-75.0,0.0,0.0,0.4034229828850856,632,315,165.0,-80.0,0.0,0.0031746031746031746,0.38412698412698415
d30|cumhi_nearspot,548,409,195.0,-75.0,0.0,0.0,0.4083129584352078,632,315,165.0,-80.0,0.0,0.0031746031746031746,0.3873015873015873
d90|cumlo_highest,548,379,195.0,75.0,0.002638522427440633,0.002638522427440633,0.25065963060686014,632,456,125.0,100.0,0.0,0.0,0.3201754385964912
d90|cumlo_nearspot,548,379,195.0,75.0,0.0,0.002638522427440633,0.24802110817941952,632,456,125.0,100.0,0.0,0.0,0.3201754385964912
d90|cumlo_maxswing,548,379,195.0,75.0,0.0,0.002638522427440633,0.24802110817941952,632,456,125.0,100.0,0.0,0.0,0.3201754385964912
ex1|trough_net,548,548,195.0,-195.0,0.005474452554744526,0.005474452554744526,0.5529197080291971,632,632,195.0,-195.0,0.00949367088607595,0.012658227848101266,0.6835443037974683
monthly|peak_net,548,548,197.5,195.0,0.0018248175182481751,0.005474452554744526,0.5,632,632,185.0,185.0,0.0,0.00949367088607595,0.379746835443038
d45|cumhi_maxswing,548,440,215.0,-75.0,0.0,0.0,0.38181818181818183,632,377,285.0,-80.0,0.0,0.0,0.3076923076923077
monthly|trough_net,548,548,215.0,-215.0,0.0072992700729927005,0.009124087591240875,0.5565693430656934,632,632,295.0,-295.0,0.007911392405063292,0.007911392405063292,0.689873417721519
d30|peak_oi,548,548,217.5,-172.5,0.08759124087591241,0.11496350364963503,0.635036496350365,632,632,410.0,-410.0,0.00949367088607595,0.04272151898734177,0.625
d60|cumhi_maxswing,548,445,220.0,-85.0,0.0,0.0,0.3752808988764045,632,439,765.0,-65.0,0.0,0.0,0.2642369020501139
d60|cumhi_nearspot,548,445,220.0,-85.0,0.0,0.0,0.3685393258426966,632,439,765.0,-65.0,0.0,0.0,0.2642369020501139
d45|cumhi_lowest,548,440,220.0,-80.0,0.0,0.0,0.37727272727272726,632,377,285.0,-80.0,0.0,0.0,0.3076923076923077
d60|cumhi_lowest,548,445,220.0,-85.0,0.0,0.0,0.3707865168539326,632,439,765.0,-65.0,0.0,0.0,0.2642369020501139
d45|cumhi_nearspot,548,440,220.0,-80.0,0.0,0.0,0.37727272727272726,632,377,285.0,-80.0,0.0,0.0,0.3076923076923077
all|cumhi_nearspot,548,318,225.0,-225.0,0.0,0.0,0.4088050314465409,632,234,295.0,-270.0,0.0,0.0,0.3034188034188034
all|cumhi_maxswing,548,318,225.0,-225.0,0.0,0.0,0.4056603773584906,632,234,295.0,-270.0,0.0,0.0,0.3034188034188034
all|cumhi_highest,548,318,225.0,-225.0,0.0,0.0,0.4088050314465409,632,234,315.0,-265.0,0.0,0.0,0.34615384615384615
all|cumhi_lowest,548,318,225.0,-225.0,0.0,0.0,0.4056603773584906,632,234,295.0,-270.0,0.0,0.0,0.3034188034188034
ex1|cumhi_lowest,548,319,240.0,-240.0,0.0,0.0,0.3887147335423197,632,226,375.0,-335.0,0.0,0.0,0.27876106194690264
ex1|cumhi_highest,548,319,240.0,-240.0,0.0,0.0,0.3887147335423197,632,226,415.0,-325.0,0.0,0.0,0.3230088495575221
ex1|cumhi_maxswing,548,319,240.0,-240.0,0.0,0.0,0.3887147335423197,632,226,375.0,-335.0,0.0,0.0,0.27876106194690264
ex1|cumhi_nearspot,548,319,240.0,-240.0,0.0,0.0,0.3887147335423197,632,226,375.0,-335.0,0.0,0.0,0.27876106194690264
