date,r1h,tempo1h,nclimax1h,rest_range,adr,prev_close,op,last_t,gap_adr,r1h_adr,rest_adr,year
2025-11-14,67.5,86.32595622918204,16.0,65.75,73.125,6947.5,6862.75,15:14:59.521098,1.158974358974359,0.9230769230769231,0.8991452991452992,2025
2025-11-17,48.25,51.05063855063855,1.0,109.0,81.9375,6935.0,6905.0,15:14:59.637675,0.36613272311212813,0.5888634630053394,1.3302822273073989,2025
2025-11-18,75.75,89.83627398671646,56.0,93.5,87.96875,6870.75,6827.5,15:14:59.163688,0.491651865008881,0.861101243339254,1.0628774422735345,2025
2025-11-19,73.25,60.124110124110125,2.0,78.5,88.65625,6804.0,6813.25,15:14:59.814453,0.10433556573845612,0.8262248854423687,0.8854423686993302,2025
2025-11-20,29.75,67.01972242512782,1.0,240.75,86.15625,6834.75,6935.75,15:14:59.720764,1.1722887196227785,0.34530286543344213,2.794341675734494,2025
2025-11-21,41.5,83.61489543842485,19.0,138.5,107.125,6727.75,6752.25,15:14:59.707188,0.22870478413068845,0.38739789964994165,1.292882147024504,2025
2025-11-24,42.25,64.84623591202539,3.0,51.0,118.28125,6797.75,6828.5,15:14:59.885012,0.2599735799207398,0.3571994715984148,0.4311756935270806,2025
2025-11-25,55.5,68.45114345114345,6.0,78.0,123.8125,6894.25,6887.25,15:14:59.183615,0.05653710247349823,0.4482584553255931,0.629984856133266,2025
2025-11-26,28.25,41.519105312208765,1.0,37.25,125.5,6953.5,6975.75,15:14:58.852572,0.17729083665338646,0.2250996015936255,0.2968127490039841,2025
2025-12-01,31.5,35.716485716485714,1.0,42.0,106.5625,7028.0,6984.25,15:14:58.131409,0.41055718475073316,0.29560117302052785,0.39413489736070384,2025
2025-12-02,22.75,25.895125895125894,0.0,45.5,100.25,6996.5,7015.0,15:14:59.417718,0.18453865336658354,0.22693266832917705,0.4538653366583541,2025
2025-12-03,27.0,37.425960067469504,1.0,36.25,95.0625,7010.75,7000.0,15:14:59.867378,0.11308349769888232,0.28402366863905326,0.38132807363576593,2025
2025-12-04,32.25,31.52720027720028,0.0,34.75,71.59375,7035.0,7047.0,15:14:59.379777,0.16761239633347882,0.45045831514622436,0.4853775643823658,2025
2025-12-05,30.0,19.482968175275868,0.0,38.5,59.34375,7036.5,7046.0,15:14:59.832110,0.16008425487098474,0.5055292259083728,0.6487625065824117,2025
2025-12-08,28.25,16.916008316008316,1.0,34.5,53.53125,7051.0,7056.5,15:14:59.548987,0.10274372446001168,0.527729130180969,0.6444833625218914,2025
2025-12-09,21.25,15.299198099198097,0.0,28.25,45.15625,7025.5,7021.25,15:14:59.722796,0.09411764705882353,0.47058823529411764,0.62560553633218,2025
2025-12-10,21.75,14.997386397386396,0.0,75.75,42.3125,7017.5,7014.25,15:14:59.643369,0.07680945347119646,0.5140324963072378,1.7902511078286558,2025
2025-12-11,46.75,55.94405594405595,2.0,52.0,47.125,7062.0,7038.75,14:59:59.997515,0.493368700265252,0.9920424403183024,1.103448275862069,2025
2025-12-12,56.25,47.54714228398439,1.0,64.75,50.65625,7078.75,7067.0,15:14:59.557731,0.23195558297347316,1.1104256631708822,1.2782233189389265,2025
2025-12-15,67.5,33.3404047689762,1.0,37.25,57.21875,7005.5,7041.75,15:14:57.526404,0.6335335882031676,1.1796832332058984,0.651010376843255,2025
2025-12-16,47.75,64.4506237006237,5.0,55.75,59.03125,6992.0,6972.5,15:14:59.933188,0.33033350979354154,0.8088935944944415,0.9444150344097406,2025
2025-12-17,29.75,37.78393778393778,1.0,80.25,61.84375,6964.0,6976.5,15:14:59.728162,0.20212228398180898,0.4810510358767054,1.2976250631632138,2025
2025-12-18,35.0,51.01292179753718,1.0,60.25,69.0,6905.5,6950.75,15:14:59.972908,0.6557971014492754,0.5072463768115942,0.8731884057971014,2025
2025-12-19,41.75,35.27506796737566,1.0,25.75,70.15625,6932.75,6958.25,15:14:59.482288,0.36347438752783967,0.5951002227171492,0.36703786191536747,2025
2025-12-22,16.75,16.232629390524128,0.0,27.75,72.625,7000.5,7032.75,15:14:59.849424,0.4440619621342513,0.2306368330464716,0.38209982788296043,2025
2025-12-23,24.75,16.42989142989143,0.0,29.0,66.4375,7042.25,7030.25,15:14:58.614822,0.18062088428974601,0.37253057384760113,0.43650047036688616,2025
2025-12-26,21.0,9.504009504009504,0.0,17.75,54.75,7091.0,7094.5,15:14:59.498220,0.0639269406392694,0.3835616438356164,0.3242009132420091,2025
2025-12-29,24.25,17.87941787941788,1.0,26.5,49.4375,7088.75,7062.25,15:14:59.627896,0.5360303413400759,0.49051833122629585,0.5360303413400759,2025
2025-12-30,18.5,10.729135729135729,0.0,20.75,45.53125,7065.5,7060.75,15:14:59.520999,0.10432395332875773,0.40631434454358273,0.4557309540150995,2025
2025-12-31,26.0,8.285208285208286,0.0,45.0,36.15625,7056.5,7056.25,15:14:59.167355,0.006914433880726016,0.7191011235955056,1.2445980985306828,2025
2026-01-02,54.5,46.51959651959652,1.0,49.0,35.78125,7008.5,7038.75,15:14:59.113967,0.845414847161572,1.5231441048034935,1.3694323144104803,2026
2026-01-05,23.5,43.58783783783784,2.0,23.5,38.90625,7014.0,7045.25,15:14:58.339056,0.8032128514056225,0.6040160642570281,0.6040160642570281,2026
2026-01-06,31.75,25.847193347193347,1.0,41.0,39.28125,7055.5,7057.75,15:14:58.019698,0.057279236276849645,0.8082736674622116,1.0437549721559267,2026
2026-01-07,20.25,22.516747516747515,1.0,47.75,39.40625,7098.0,7100.0,15:14:59.696344,0.05075337034099921,0.5138778747026169,1.211736716891356,2026
2026-01-08,26.0,45.592907857058805,0.0,23.25,41.53125,7071.0,7064.75,15:14:57.511735,0.1504890895410083,0.6260346124905944,0.5598194130925508,2026
2026-01-09,42.75,52.48404903577317,3.0,40.25,42.46875,7075.25,7081.25,15:14:59.203089,0.141280353200883,1.0066225165562914,0.9477557027225901,2026
2026-01-12,34.0,30.51158663353785,1.0,32.25,46.21875,7115.0,7080.25,15:14:59.681158,0.7518593644354293,0.735632183908046,0.6977687626774848,2026
2026-01-13,40.75,44.232848232848234,4.0,38.5,50.6875,7127.5,7129.5,15:14:59.360253,0.03945745992601726,0.8039457459926017,0.7595561035758323,2026
2026-01-14,41.5,65.73132664437011,7.0,47.5,49.46875,7112.0,7083.25,15:14:59.039516,0.5811749842072015,0.8389134554643083,0.9602021478205938,2026
2026-01-15,15.5,37.5984753984754,1.0,42.5,47.40625,7075.5,7120.0,15:14:59.371141,0.938694792353329,0.3269611074489123,0.8965062623599209,2026
2026-01-16,28.0,36.9022869022869,1.0,37.0,48.875,7092.25,7107.5,15:14:59.666150,0.31202046035805625,0.5728900255754475,0.7570332480818415,2026
2026-01-20,39.0,68.10531979943744,5.0,94.5,48.34375,7087.0,7007.5,15:14:58.498581,1.6444731738849385,0.8067226890756303,1.9547511312217194,2026
2026-01-21,45.5,58.205889369823794,1.0,108.0,54.1875,6950.5,6963.75,15:14:59.042290,0.24452133794694347,0.839677047289504,1.9930795847750864,2026
