date,side,grp,label,conf,eff_fall,retrace_adr,ext_adr
2021-10-26,-1,climax,reversal,False,False,0.256,0.528
2021-10-26,-1,climax,continuation,False,False,0.192,0.296
2021-10-26,-1,climax,reversal,True,True,0.12,0.008
2021-10-26,1,control,continuation,False,False,0.128,0.104
2021-10-26,1,control,reversal,False,False,0.208,0.016
2021-10-26,-1,control,continuation,True,False,0.08,0.136
2021-10-27,-1,control,reversal,True,False,0.084,0.605
2021-10-27,-1,climax,reversal,True,True,0.538,0.555
2021-10-27,1,control,continuation,False,False,0.092,0.218
2021-10-27,1,control,reversal,False,False,0.067,0.05
2021-10-27,-1,control,continuation,True,False,0.025,0.546
2021-10-27,-1,control,continuation,False,False,0.084,0.21
2021-10-28,1,control,reversal,True,True,0.306,0.483
2021-10-28,1,control,continuation,True,False,0.048,0.435
2021-10-28,-1,control,reversal,True,False,0.016,0.089
2021-10-28,1,control,continuation,False,False,0.056,0.217
2021-10-28,1,control,continuation,False,False,0.032,0.113
2021-10-29,-1,control,reversal,False,False,0.085,0.025
2021-10-29,1,control,continuation,False,False,0.042,0.626
2021-10-29,1,control,continuation,True,False,0.051,0.305
2021-10-29,-1,control,reversal,False,False,0.025,0.093
2021-10-29,-1,control,reversal,False,False,0.677,0.0
2021-10-29,1,control,continuation,False,True,0.102,0.22
2021-11-01,1,control,continuation,True,True,0.08,0.249
2021-11-01,1,control,reversal,True,False,0.072,0.089
2021-11-01,-1,control,continuation,False,True,0.064,0.185
2021-11-01,1,control,continuation,True,False,0.097,0.161
2021-11-02,1,control,continuation,False,True,0.094,0.242
2021-11-02,1,control,reversal,False,False,0.008,0.07
2021-11-02,-1,control,reversal,True,True,0.328,0.0
2021-11-03,-1,control,reversal,False,True,0.174,0.032
2021-11-03,1,climax,continuation,True,True,0.063,1.015
2021-11-03,1,control,continuation,False,False,0.024,0.127
2021-11-04,1,control,reversal,False,True,0.562,0.0
2021-11-04,-1,control,continuation,False,True,0.031,0.238
2021-11-04,1,control,continuation,False,False,0.092,0.146
2021-11-05,-1,control,continuation,False,False,0.163,0.873
2021-11-05,-1,control,continuation,False,False,0.024,0.751
2021-11-05,-1,climax,continuation,True,True,0.065,0.163
2021-11-05,1,control,reversal,False,True,0.204,0.131
2021-11-05,-1,control,unresolved,False,True,0.0,0.0
2021-11-08,-1,control,continuation,False,False,0.063,0.166
2021-11-08,-1,control,continuation,False,False,0.063,0.126
2021-11-08,1,control,reversal,False,False,0.079,0.032
2021-11-09,-1,climax,reversal,False,False,0.1,0.158
2021-11-09,1,climax,reversal,False,True,0.349,0.141
2021-11-09,1,control,reversal,True,False,0.715,0.0
2021-11-09,-1,climax,reversal,False,True,0.557,0.0
2021-11-09,-1,control,reversal,False,False,0.083,0.058
2021-11-09,1,control,continuation,False,False,0.225,0.108
2021-11-09,1,control,unresolved,False,True,0.05,0.017
2021-11-10,1,control,reversal,False,False,1.733,0.0
2021-11-10,-1,control,continuation,False,False,0.121,1.449
2021-11-10,-1,control,continuation,True,False,0.081,1.304
2021-11-10,-1,climax,continuation,False,False,0.089,0.923
2021-11-10,-1,climax,continuation,False,False,0.154,0.713
2021-11-10,-1,climax,continuation,False,False,0.024,0.405
2021-11-10,1,control,reversal,False,False,0.162,0.089
2021-11-10,1,control,unresolved,False,False,0.081,0.024
2021-11-11,-1,control,reversal,False,False,0.362,0.054
2021-11-11,1,control,reversal,False,False,0.046,0.023
2021-11-11,-1,control,unresolved,False,True,0.185,0.031
2021-11-12,1,control,continuation,True,False,0.08,0.881
2021-11-12,1,climax,reversal,False,True,0.128,0.256
2021-11-12,-1,control,reversal,False,False,0.521,0.0
2021-11-12,1,control,unresolved,False,False,0.024,0.096
2021-11-15,-1,control,continuation,True,False,0.12,0.391
2021-11-15,-1,climax,continuation,False,False,0.023,0.248
2021-11-15,1,control,reversal,True,False,0.293,0.06
2021-11-16,1,control,reversal,True,True,0.331,0.46
2021-11-16,-1,control,reversal,False,False,0.791,0.0
2021-11-16,1,control,continuation,True,False,0.048,0.436
2021-11-16,1,control,continuation,False,True,0.065,0.105
2021-11-16,1,control,reversal,False,False,0.492,0.0
2021-11-16,-1,control,continuation,False,False,0.153,0.186
2021-11-16,-1,control,unresolved,True,False,0.073,0.008
2021-11-17,1,control,continuation,False,False,0.053,0.122
2021-11-17,1,control,reversal,False,False,0.008,0.053
2021-11-17,-1,control,continuation,False,False,0.031,0.107
2021-11-18,-1,climax,continuation,True,False,0.05,0.232
2021-11-18,1,control,continuation,True,False,0.017,0.736
2021-11-18,1,control,continuation,True,True,0.058,0.273
2021-11-18,-1,control,reversal,False,False,0.455,0.0
2021-11-18,1,control,continuation,False,False,0.066,0.116
2021-11-19,-1,control,reversal,False,False,0.054,0.124
2021-11-19,1,control,continuation,True,False,0.07,0.317
2021-11-19,1,control,continuation,True,False,0.023,0.17
2021-11-19,-1,control,continuation,False,False,0.008,0.279
2021-11-19,-1,control,unresolved,False,False,0.139,0.008
2021-11-22,1,control,reversal,False,False,2.159,0.0
2021-11-22,-1,control,continuation,False,False,0.041,1.792
2021-11-22,-1,control,continuation,False,False,0.016,1.646
