date,strat,method,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2025-06-23,openic_c,straddle,5969.67,30.0,6000.0,6025.0,8.05,stop,13.5,-551.52,
2025-06-24,eodic_p,vix252,6025.17,75.3,5950.0,5925.0,0.15,settle,0.0,11.74,
2025-06-24,eodic_p,vix365,6025.17,62.5,5965.0,5940.0,0.25,settle,0.0,21.74,
2025-06-24,eodic_p,straddle,6025.17,26.7,6000.0,5975.0,0.65,settle,0.0,61.74,
2025-06-24,eodic_c,vix252,6025.17,75.3,6100.0,6125.0,1.35,stop,2.9,-161.52,
2025-06-24,eodic_c,vix365,6025.17,62.5,6090.0,6115.0,2.65,stop,8.75,-616.52,
2025-06-24,eodic_c,straddle,6025.17,26.7,6050.0,6075.0,14.3,stop,17.8,-356.52,
2025-06-24,openic_p,vix252,6061.21,75.3,5985.0,5960.0,0.25,settle,0.0,21.74,
2025-06-24,openic_p,vix365,6061.21,62.5,6000.0,5975.0,0.45,settle,0.0,41.74,
2025-06-24,openic_p,straddle,6061.21,26.7,6035.0,6010.0,1.8,settle,0.0,176.74,
2025-06-24,openic_c,vix252,6061.21,75.3,6135.0,6160.0,0.1,settle,0.0,6.74,
2025-06-24,openic_c,vix365,6061.21,62.5,6125.0,6150.0,0.15,settle,0.0,11.74,
2025-06-24,openic_c,straddle,6061.21,26.7,6090.0,6115.0,2.5,stop,8.75,-631.52,
2025-06-25,eodic_p,vix252,6092.18,67.1,6025.0,6000.0,0.15,settle,0.0,11.74,
2025-06-25,eodic_p,vix365,6092.18,55.7,6035.0,6010.0,0.2,settle,0.0,16.74,
2025-06-25,eodic_p,straddle,6092.18,21.0,6070.0,6045.0,1.35,settle,0.0,131.74,
2025-06-25,eodic_c,vix252,6092.18,67.1,6160.0,6185.0,0.1,settle,0.0,6.74,
2025-06-25,eodic_c,vix365,6092.18,55.7,6150.0,6175.0,0.3,settle,0.0,26.74,
2025-06-25,eodic_c,straddle,6092.18,21.0,6115.0,6140.0,4.9,settle,0.0,486.74,
2025-06-25,openic_p,vix252,6104.23,67.1,6035.0,6010.0,0.15,settle,0.0,11.74,
2025-06-25,openic_p,vix365,6104.23,55.7,6050.0,6025.0,0.35,settle,0.0,31.74,
2025-06-25,openic_p,straddle,6104.23,21.0,6085.0,6060.0,2.45,settle,0.0,241.74,
2025-06-25,openic_c,vix252,6104.23,67.1,6170.0,6195.0,0.05,settle,0.0,1.74,
2025-06-25,openic_c,vix365,6104.23,55.7,6160.0,6185.0,0.05,settle,0.0,1.74,
2025-06-25,openic_c,straddle,6104.23,21.0,6125.0,6150.0,1.65,settle,0.0,161.74,
2025-06-26,eodic_p,vix252,6092.16,64.3,6030.0,6005.0,0.05,settle,0.0,1.74,
2025-06-26,eodic_p,vix365,6092.16,53.4,6040.0,6015.0,0.1,settle,0.0,6.74,
2025-06-26,eodic_p,straddle,6092.16,20.8,6070.0,6045.0,0.65,settle,0.0,61.74,
2025-06-26,eodic_c,vix252,6092.16,64.3,6155.0,6180.0,0.25,settle,0.0,21.74,
2025-06-26,eodic_c,vix365,6092.16,53.4,6145.0,6170.0,0.8,settle,0.0,76.74,
2025-06-26,eodic_c,straddle,6092.16,20.8,6115.0,6140.0,8.2,stop,8.2,-6.52,
2025-06-26,openic_p,vix252,6112.09,64.3,6050.0,6025.0,0.1,settle,0.0,6.74,
2025-06-26,openic_p,vix365,6112.09,53.4,6060.0,6035.0,0.2,settle,0.0,16.74,
2025-06-26,openic_p,straddle,6112.09,20.8,6090.0,6065.0,1.3,settle,0.0,126.74,
2025-06-26,openic_c,vix252,6112.09,64.3,6175.0,6200.0,0.05,settle,0.0,1.74,
