t,o,h,l,c,v
2026-07-09 21:40:00-05:00,7581.5,7582.0,7581.25,7582.0,90.0
2026-07-09 21:41:00-05:00,7582.0,7582.5,7582.0,7582.0,122.0
2026-07-09 21:42:00-05:00,7582.25,7582.25,7581.25,7581.75,192.0
2026-07-09 21:43:00-05:00,7581.5,7581.75,7581.25,7581.5,106.0
2026-07-09 21:44:00-05:00,7581.25,7581.75,7581.25,7581.5,71.0
2026-07-09 21:45:00-05:00,7581.75,7581.75,7581.0,7581.75,77.0
2026-07-09 21:46:00-05:00,7581.75,7581.75,7581.0,7581.25,125.0
2026-07-09 21:47:00-05:00,7581.25,7583.5,7581.25,7583.0,196.0
2026-07-09 21:48:00-05:00,7583.25,7583.5,7582.75,7583.0,201.0
2026-07-09 21:49:00-05:00,7582.75,7583.75,7582.75,7583.5,69.0
2026-07-09 21:50:00-05:00,7583.5,7584.25,7583.25,7584.0,133.0
2026-07-09 21:51:00-05:00,7584.25,7585.5,7584.25,7585.0,683.0
2026-07-09 21:52:00-05:00,7584.75,7585.25,7584.75,7585.25,98.0
2026-07-09 21:53:00-05:00,7585.25,7585.75,7585.0,7585.5,187.0
2026-07-09 21:54:00-05:00,7585.25,7585.25,7584.25,7584.75,131.0
2026-07-09 21:55:00-05:00,7584.75,7585.5,7584.5,7585.5,67.0
2026-07-09 21:56:00-05:00,7585.5,7585.75,7585.0,7585.5,76.0
2026-07-09 21:57:00-05:00,7585.25,7585.25,7585.0,7585.0,66.0
2026-07-09 21:58:00-05:00,7585.25,7585.5,7585.0,7585.25,83.0
2026-07-09 21:59:00-05:00,7585.25,7586.5,7585.25,7586.25,334.0
2026-07-09 22:00:00-05:00,7586.25,7586.25,7585.5,7585.75,215.0
2026-07-09 22:01:00-05:00,7586.0,7586.5,7585.75,7586.5,117.0
2026-07-09 22:02:00-05:00,7586.5,7586.75,7586.5,7586.75,133.0
2026-07-09 22:03:00-05:00,7586.75,7587.5,7586.5,7587.25,116.0
2026-07-09 22:04:00-05:00,7587.25,7587.25,7586.5,7587.0,109.0
2026-07-09 22:05:00-05:00,7586.75,7587.5,7586.5,7587.5,76.0
2026-07-09 22:06:00-05:00,7587.5,7587.5,7587.0,7587.25,79.0
2026-07-09 22:07:00-05:00,7587.25,7588.25,7587.0,7588.25,243.0
2026-07-09 22:08:00-05:00,7588.0,7588.5,7588.0,7588.0,79.0
2026-07-09 22:09:00-05:00,7588.0,7588.0,7587.75,7587.75,103.0
2026-07-09 22:10:00-05:00,7588.0,7588.25,7586.5,7586.75,270.0
2026-07-09 22:11:00-05:00,7586.5,7587.0,7586.5,7586.75,106.0
2026-07-09 22:12:00-05:00,7586.75,7586.75,7586.25,7586.5,74.0
2026-07-09 22:13:00-05:00,7586.5,7586.5,7586.0,7586.5,83.0
2026-07-09 22:14:00-05:00,7586.5,7587.0,7586.5,7586.75,89.0
2026-07-09 22:15:00-05:00,7586.75,7587.0,7586.25,7586.5,101.0
2026-07-09 22:16:00-05:00,7586.5,7586.75,7586.25,7586.5,90.0
2026-07-09 22:17:00-05:00,7586.5,7587.0,7586.5,7587.0,35.0
2026-07-09 22:18:00-05:00,7587.0,7587.0,7586.25,7586.25,86.0
2026-07-09 22:19:00-05:00,7586.25,7586.25,7585.5,7586.0,102.0
2026-07-09 22:20:00-05:00,7586.0,7586.0,7585.5,7586.0,60.0
2026-07-09 22:21:00-05:00,7586.0,7586.25,7585.25,7585.5,114.0
2026-07-09 22:22:00-05:00,7585.5,7585.5,7584.75,7585.25,156.0
2026-07-09 22:23:00-05:00,7585.0,7585.0,7584.5,7585.0,103.0
2026-07-09 22:24:00-05:00,7585.0,7585.0,7583.5,7584.0,178.0
2026-07-09 22:25:00-05:00,7584.0,7584.75,7584.0,7584.75,77.0
2026-07-09 22:26:00-05:00,7584.75,7584.75,7583.25,7583.25,110.0
2026-07-09 22:27:00-05:00,7583.5,7584.25,7583.5,7584.0,78.0
2026-07-09 22:28:00-05:00,7583.75,7584.0,7583.75,7584.0,47.0
2026-07-09 22:29:00-05:00,7584.0,7584.0,7583.25,7583.5,104.0
2026-07-09 22:30:00-05:00,7583.5,7583.75,7582.25,7583.75,215.0
2026-07-09 22:31:00-05:00,7583.75,7583.75,7582.75,7582.75,54.0
