ts,trade_id,unreal_pnl,mid,vix
2026-08-25 09:11:33,xsp_auto_20260825_090642,2.0,-0.68,15.83
2026-08-25 09:11:33,xsp_auto_20260825_090720,-2.0,-0.84,15.83
2026-08-25 09:11:33,xsp_auto_20260825_090742,-1.0,-0.24,15.83
2026-08-25 09:11:33,xsp_auto_20260825_090803,-15.0,-1.39,15.83
2026-08-25 09:12:33,xsp_auto_20260825_084230,-48.0,-0.5,15.87
2026-08-25 09:12:33,xsp_auto_20260825_084252,-14.0,-0.42,15.87
2026-08-25 09:12:33,xsp_auto_20260825_090642,-0.5,-0.705,15.87
2026-08-25 09:12:33,xsp_auto_20260825_090720,-3.5,-0.855,15.87
2026-08-25 09:12:33,xsp_auto_20260825_090742,1.5,-0.215,15.87
2026-08-25 09:12:33,xsp_auto_20260825_090803,-12.5,-1.365,15.87
2026-08-25 09:13:33,xsp_auto_20260825_084230,-48.0,-0.5,15.86
2026-08-25 09:13:33,xsp_auto_20260825_084252,-15.0,-0.43,15.86
2026-08-25 09:13:33,xsp_auto_20260825_090642,-4.5,-0.745,15.86
2026-08-25 09:13:33,xsp_auto_20260825_090720,4.5,-0.775,15.86
2026-08-25 09:13:33,xsp_auto_20260825_090742,-0.5,-0.235,15.86
2026-08-25 09:13:33,xsp_auto_20260825_090803,-3.5,-1.275,15.86
